query	rank	left	top	width	height
河北科技大学	2	15	133	121	121
河北科技大学	3	15	299	75	75
河北科技大学	4	25	550	121	91
河北科技大学	6	15	1016	259	194
河北科技大学	7	15	1343	121	75
河北科技大学	9	15	1605	52	52
火影忍者下载+迅雷下载	3	15	261	121	75
火影忍者下载+迅雷下载	6	15	602	121	75
火影忍者下载+迅雷下载	7	15	725	121	75
火影忍者下载+迅雷下载	8	15	848	121	75
火影忍者下载+迅雷下载	9	15	971	121	75
北京丰台建都医院	2	15	137	121	75
北京丰台建都医院	4	15	359	259	289
北京丰台建都医院	5	15	691	121	75
北京丰台建都医院	7	15	893	121	75
邱县贴吧最新消息	1	15	36	75	75
邱县贴吧最新消息	2	15	277	121	75
邱县贴吧最新消息	5	15	718	121	75
邱县贴吧最新消息	6	15	881	121	91
邱县贴吧最新消息	7	15	1015	121	75
邱县贴吧最新消息	9	15	1241	121	75
邱县贴吧最新消息	10	15	1364	121	75
思量qq亮钻大师	1	15	34	121	75
思量qq亮钻大师	2	15	157	121	75
思量qq亮钻大师	4	15	404	121	75
思量qq亮钻大师	5	15	527	121	91
思量qq亮钻大师	10	15	1144	121	75
nba2015全明星赛	5	15	456	121	75
nba2015全明星赛	6	15	574	121	75
nba2015全明星赛	7	15	698	121	91
nba2015全明星赛	8	15	922	121	75
nba2015全明星赛	9	15	1040	121	75
nba2015全明星赛	10	15	1164	121	75
基督教儿歌大全100首	1	15	34	121	75
基督教儿歌大全100首	3	15	256	121	83
基督教儿歌大全100首	4	15	382	121	91
基督教儿歌大全100首	5	15	516	121	75
基督教儿歌大全100首	9	15	959	121	75
基督教儿歌大全100首	10	15	1082	121	75
致我们终将逝去的青春电影完整版	1	15	34	121	161
致我们终将逝去的青春电影完整版	2	15	257	121	91
致我们终将逝去的青春电影完整版	4	15	490	121	140
致我们终将逝去的青春电影完整版	6	15	772	121	75
致我们终将逝去的青春电影完整版	9	15	1177	121	75
学驾照科目一模拟考试	1	15	34	121	75
学驾照科目一模拟考试	2	15	193	111	91
学驾照科目一模拟考试	2	126	193	65	91
学驾照科目一模拟考试	2	191	193	89	91
学驾照科目一模拟考试	2	280	193	51	91
学驾照科目一模拟考试	2	331	193	214	91
学驾照科目一模拟考试	4	15	457	121	75
学驾照科目一模拟考试	6	15	679	121	75
学驾照科目一模拟考试	8	15	901	121	75
学驾照科目一模拟考试	9	15	1024	121	75
学驾照科目一模拟考试	10	15	1147	121	75
最近10天电影	1	15	34	121	91
最近10天电影	1	153	34	121	91
最近10天电影	1	291	34	121	91
最近10天电影	1	429	34	121	91
最近10天电影	3	15	357	121	75
比亚迪唐最新消息	1	25	55	121	81
比亚迪唐最新消息	2	15	265	121	91
比亚迪唐最新消息	2	136	265	121	91
比亚迪唐最新消息	2	257	265	121	91
比亚迪唐最新消息	2	378	265	169	91
比亚迪唐最新消息	3	15	430	121	75
比亚迪唐最新消息	4	15	553	121	75
比亚迪唐最新消息	5	15	676	121	75
比亚迪唐最新消息	6	15	801	75	75
比亚迪唐最新消息	8	15	1141	121	75
比亚迪唐最新消息	9	15	1259	121	75
比亚迪唐最新消息	10	15	1422	121	75
怎样邀请好友加入群	1	25	44	121	92
怎样邀请好友加入群	1	157	44	121	92
怎样邀请好友加入群	1	289	44	121	92
怎样邀请好友加入群	1	421	44	121	92
怎样邀请好友加入群	3	15	410	121	75
怎样邀请好友加入群	4	15	528	121	75
怎样邀请好友加入群	5	15	651	121	75
怎样邀请好友加入群	6	15	774	121	75
怎样邀请好友加入群	7	15	897	121	75
怎样邀请好友加入群	9	15	1159	121	75
怎样邀请好友加入群	10	15	1282	121	75
肝火旺的症状	2	15	159	121	91
肝火旺的症状	4	15	481	121	75
肝火旺的症状	5	15	640	108	91
肝火旺的症状	5	123	640	106	91
肝火旺的症状	5	229	640	105	91
肝火旺的症状	5	334	640	106	91
肝火旺的症状	5	440	640	106	91
用电饭锅怎么做蛋糕	1	25	44	121	92
用电饭锅怎么做蛋糕	1	157	44	121	92
用电饭锅怎么做蛋糕	1	289	44	121	92
用电饭锅怎么做蛋糕	1	421	44	121	92
用电饭锅怎么做蛋糕	2	15	332	105	91
用电饭锅怎么做蛋糕	2	120	332	106	91
用电饭锅怎么做蛋糕	2	226	332	106	91
用电饭锅怎么做蛋糕	2	332	332	106	91
用电饭锅怎么做蛋糕	2	438	332	106	91
用电饭锅怎么做蛋糕	3	15	497	75	75
用电饭锅怎么做蛋糕	3	15	618	75	75
用电饭锅怎么做蛋糕	4	15	761	121	91
用电饭锅怎么做蛋糕	4	153	761	121	91
用电饭锅怎么做蛋糕	4	291	761	121	91
用电饭锅怎么做蛋糕	4	429	761	121	91
用电饭锅怎么做蛋糕	5	15	985	121	75
用电饭锅怎么做蛋糕	6	15	1103	121	91
用电饭锅怎么做蛋糕	7	15	1237	121	91
用电饭锅怎么做蛋糕	9	15	1494	121	75
用电饭锅怎么做蛋糕	10	15	1617	121	75
小学美术教案+简笔画	1	11	34	142	101
小学美术教案+简笔画	1	143	34	150	101
小学美术教案+简笔画	1	283	34	143	101
小学美术教案+简笔画	1	416	34	142	101
小学美术教案+简笔画	3	15	377	121	75
小学美术教案+简笔画	10	15	1117	121	91
刘老根大舞台	1	15	34	121	75
刘老根大舞台	2	15	157	121	91
刘老根大舞台	3	15	300	121	91
刘老根大舞台	3	153	300	121	91
刘老根大舞台	3	291	300	121	91
刘老根大舞台	3	429	300	121	91
刘老根大舞台	4	15	524	259	194
刘老根大舞台	7	15	968	121	75
刘老根大舞台	8	15	1091	121	75
刘老根大舞台	9	10	1214	137	102
刘老根大舞台	9	137	1214	151	102
刘老根大舞台	9	278	1214	137	102
刘老根大舞台	9	405	1214	153	102
刘老根大舞台	10	15	1379	121	91
睿德二元期权可靠吗	6	15	619	121	75
新农村	1	11	34	138	92
新农村	1	140	34	134	92
新农村	1	265	34	138	92
新农村	1	393	34	165	92
新农村	3	25	393	121	81
新农村	5	15	703	75	75
新农村	6	15	944	259	194
新农村	8	15	1394	121	75
新农村	9	15	1517	121	75
卫生间装修效果图小户型	1	15	34	218	220
卫生间装修效果图小户型	1	228	34	82	105
卫生间装修效果图小户型	1	301	34	138	105
