query	rank	left	top	width	height
河北科技大学	1	15	5	538	85
河北科技大学	2	15	104	538	150
河北科技大学	3	15	268	538	229
河北科技大学	4	15	511	538	363
河北科技大学	5	15	888	538	85
河北科技大学	6	15	987	538	313
河北科技大学	7	15	1314	538	109
河北科技大学	8	15	1437	538	125
河北科技大学	9	15	1576	538	111
河北科技大学	10	15	1701	538	145
火影忍者下载+迅雷下载	1	15	5	538	85
火影忍者下载+迅雷下载	2	15	104	538	114
火影忍者下载+迅雷下载	3	15	232	538	109
火影忍者下载+迅雷下载	4	15	355	538	105
火影忍者下载+迅雷下载	5	15	474	538	85
火影忍者下载+迅雷下载	6	15	573	538	109
火影忍者下载+迅雷下载	7	15	696	538	109
火影忍者下载+迅雷下载	8	15	819	538	109
火影忍者下载+迅雷下载	9	15	942	538	104
火影忍者下载+迅雷下载	10	15	1060	538	85
北京丰台建都医院	1	15	5	538	89
北京丰台建都医院	2	15	108	538	109
北京丰台建都医院	3	15	231	538	85
北京丰台建都医院	4	15	330	538	318
北京丰台建都医院	5	15	662	538	109
北京丰台建都医院	6	15	785	538	65
北京丰台建都医院	7	15	864	538	109
北京丰台建都医院	8	15	987	538	65
北京丰台建都医院	9	15	1066	538	85
北京丰台建都医院	10	15	1165	538	85
邱县贴吧最新消息	1	15	5	538	229
邱县贴吧最新消息	2	15	248	538	109
邱县贴吧最新消息	3	15	371	538	145
邱县贴吧最新消息	4	15	530	538	145
邱县贴吧最新消息	5	15	689	538	149
邱县贴吧最新消息	6	15	852	538	120
邱县贴吧最新消息	7	15	986	538	109
邱县贴吧最新消息	8	15	1109	538	89
邱县贴吧最新消息	9	15	1212	538	109
邱县贴吧最新消息	10	15	1335	538	104
思量qq亮钻大师	1	15	5	538	109
思量qq亮钻大师	2	15	128	538	114
思量qq亮钻大师	3	15	256	538	105
思量qq亮钻大师	4	15	375	538	109
思量qq亮钻大师	5	15	498	538	120
思量qq亮钻大师	6	15	632	538	114
思量qq亮钻大师	7	15	760	538	85
思量qq亮钻大师	8	15	859	538	114
思量qq亮钻大师	9	15	987	538	114
思量qq亮钻大师	10	15	1115	538	109
nba2015全明星赛	1	15	5	538	85
nba2015全明星赛	2	15	104	538	86
nba2015全明星赛	3	15	204	538	109
nba2015全明星赛	4	15	327	538	86
nba2015全明星赛	5	15	427	538	104
nba2015全明星赛	6	15	545	538	110
nba2015全明星赛	7	15	669	538	210
nba2015全明星赛	8	15	893	538	104
nba2015全明星赛	9	15	1011	538	110
nba2015全明星赛	10	15	1135	538	109
基督教儿歌大全100首	1	15	5	538	109
基督教儿歌大全100首	2	15	128	538	85
基督教儿歌大全100首	3	15	227	538	112
基督教儿歌大全100首	4	15	353	538	120
基督教儿歌大全100首	5	15	487	538	109
基督教儿歌大全100首	6	15	610	538	108
基督教儿歌大全100首	7	15	732	538	85
基督教儿歌大全100首	8	15	831	538	85
基督教儿歌大全100首	9	15	930	538	109
基督教儿歌大全100首	10	15	1053	538	109
致我们终将逝去的青春电影完整版	1	15	5	538	209
致我们终将逝去的青春电影完整版	2	15	228	538	120
致我们终将逝去的青春电影完整版	3	15	362	538	85
致我们终将逝去的青春电影完整版	4	15	461	538	169
致我们终将逝去的青春电影完整版	5	15	644	538	85
致我们终将逝去的青春电影完整版	6	15	743	538	109
致我们终将逝去的青春电影完整版	7	15	866	538	169
致我们终将逝去的青春电影完整版	8	15	1049	538	85
致我们终将逝去的青春电影完整版	9	15	1148	538	109
致我们终将逝去的青春电影完整版	10	15	1271	538	85
学驾照科目一模拟考试	1	15	5	538	104
学驾照科目一模拟考试	2	15	123	538	192
学驾照科目一模拟考试	3	15	329	538	85
学驾照科目一模拟考试	4	15	428	538	109
学驾照科目一模拟考试	5	15	551	538	85
学驾照科目一模拟考试	6	15	650	538	109
