query	rank	left	top	width	height
河北科技大学	4	35	480	67	67
河北科技大学	5	35	910	220	15
北京丰台建都医院	2	15	156	67	67
北京丰台建都医院	5	15	834	220	15
幸福像花儿一样+电视剧	1	26	168	120	15
幸福像花儿一样+电视剧	1	26	292	42	15
nba2015全明星赛	5	15	576	122	92
nba2015全明星赛	5	157	576	122	92
nba2015全明星赛	5	299	576	122	92
nba2015全明星赛	5	441	576	122	92
nba2015全明星赛	6	15	794	122	82
致我们终将逝去的青春电影完整版	2	15	507	42	15
致我们终将逝去的青春电影完整版	2	57	507	55	15
致我们终将逝去的青春电影完整版	2	112	507	42	15
最近10天电影	6	15	755	122	82
比亚迪唐最新消息	5	15	530	122	82
怎样邀请好友加入群	6	15	636	122	82
肝火旺的症状	6	15	754	122	82
肝火旺的症状	7	15	1033	550	42
用电饭锅怎么做蛋糕	8	15	929	122	82
刘老根大舞台	1	15	36	122	92
刘老根大舞台	1	157	36	122	92
刘老根大舞台	1	299	36	122	92
刘老根大舞台	1	441	36	122	92
刘老根大舞台	5	15	641	122	82
刘老根大舞台	8	15	1288	122	82
新农村	3	15	794	220	15
新农村	4	15	871	67	67
新农村	5	15	1036	122	82
卫生间装修效果图小户型	5	15	763	122	82
qq音乐2015年度盛典	4	15	432	122	92
qq音乐2015年度盛典	4	157	432	122	92
qq音乐2015年度盛典	4	299	432	122	92
qq音乐2015年度盛典	4	441	432	122	92
qq音乐2015年度盛典	8	15	976	122	82
自己怎样盘发简单好看	6	15	636	122	82
自己怎样盘发简单好看	7	15	788	122	92
自己怎样盘发简单好看	7	157	788	122	92
自己怎样盘发简单好看	7	299	788	122	92
自己怎样盘发简单好看	7	441	788	122	92
倚天屠龙记小说	5	15	485	122	82
述职述廉报告	6	15	536	122	82
365新年快乐	9	15	978	122	82
三国志刘备传修改器	1	15	5	550	26
菏泽公墓	1	15	191	220	15
菏泽公墓	5	15	570	122	82
通用pe工具箱	2	15	105	550	26
通用pe工具箱	6	15	739	122	82
深圳市格美奇科技有限公司	3	15	567	220	15
抛釉砖的缺点	4	15	502	122	82
电脑壁纸高清	2	15	194	99	15
电脑壁纸高清	2	15	238	124	113
电脑壁纸高清	2	149	238	124	113
电脑壁纸高清	2	283	238	124	113
电脑壁纸高清	2	417	238	124	113
电脑壁纸高清	6	15	719	122	82
html文档的基本结构	6	15	910	122	82
胎盘组织液的作用	1	15	52	550	42
胎盘组织液的作用	7	15	822	122	82
幼儿园春季育儿知识	5	15	552	122	82
简单科学小发明小制作	10	15	1152	122	82
新疆舞蹈视频大全	1	15	36	122	92
新疆舞蹈视频大全	1	157	36	122	92
新疆舞蹈视频大全	1	299	36	122	92
新疆舞蹈视频大全	1	441	36	122	92
倾世皇妃	1	26	168	120	15
倾世皇妃	1	26	292	41	15
倾世皇妃	1	67	292	49	15
倾世皇妃	1	116	292	41	15
倾世皇妃	1	157	292	57	15
倾世皇妃	10	16	1366	90	15
全国劳动模范先进事迹	6	15	698	122	82
qq空间电影	6	15	542	122	82
我的纪录片	3	15	240	122	92
我的纪录片	3	157	240	122	92
我的纪录片	3	299	240	122	92
我的纪录片	3	441	240	122	92
我的纪录片	7	15	825	122	82
ysl口红57号	1	15	120	4	15
ysl口红57号	1	15	166	4	15
ysl口红57号	1	15	212	4	15
ysl口红57号	1	15	258	4	15
怎样看股票走势图	5	15	465	122	82
粉宝乐园	1	26	168	120	15
粉宝乐园	1	26	292	41	15
粉宝乐园	6	15	995	122	82
实时天气	9	15	957	122	82
冯辉轮滑视频	4	15	396	122	92
冯辉轮滑视频	4	157	396	122	92
冯辉轮滑视频	4	299	396	122	92
冯辉轮滑视频	4	441	396	122	92
冯辉轮滑视频	6	15	724	122	82
黄遂柱	10	15	1059	122	82
折纸玫瑰视频	2	15	123	122	92
折纸玫瑰视频	2	157	123	122	92
折纸玫瑰视频	2	299	123	122	92
折纸玫瑰视频	2	441	123	122	92
折纸玫瑰视频	6	15	668	122	82
虚拟打印机	1	15	5	550	26
虚拟打印机	6	15	713	122	82
玫瑰酱的做法	3	15	290	92	92
玫瑰酱的做法	5	15	613	122	92
玫瑰酱的做法	5	157	613	122	92
玫瑰酱的做法	5	299	613	122	92
玫瑰酱的做法	5	441	613	122	92
玫瑰酱的做法	6	15	831	122	82
360分区助手	6	15	542	122	82
牌九游戏大厅	7	15	712	92	92
生化危机5免费高清	2	15	507	42	15
生化危机5免费高清	2	57	507	42	15
生化危机5免费高清	5	15	789	122	82
雨霖铃	7	15	741	122	82
践行社会主义核心价值观心得体会	7	15	728	122	82
cf老玩家回归礼包	6	15	546	122	82
ps在线图片处理	6	15	540	122	82
ps在线图片处理	8	15	882	67	67
数学诗歌	6	15	744	122	82
取名字打分	6	15	642	122	82
东风小康K17	1	35	146	154	15
东风小康K17	2	35	399	132	92
东风小康K17	6	15	1330	122	82
高尔基的童年	4	16	527	120	160
高尔基的童年	6	15	882	122	82
高贵的母亲	6	15	606	122	82
深圳地铁线路图	1	15	332	124	141
深圳地铁线路图	1	154	332	124	141
深圳地铁线路图	1	293	332	124	141
深圳地铁线路图	1	432	332	124	141
深圳地铁线路图	8	15	1213	122	82
mp3转换器	1	15	5	550	26
mp3转换器	1	459	78	95	99
mp3转换器	6	15	721	122	82
路路通编织方法	3	15	238	122	92
路路通编织方法	3	157	238	122	92
路路通编织方法	3	299	238	122	92
路路通编织方法	3	441	238	122	92
索纳塔	2	15	207	154	15
索纳塔	7	15	1010	122	82
忧伤的图片	5	17	755	100	4
忧伤的图片	6	15	896	122	82
西门剑姬	2	15	138	122	92
西门剑姬	2	157	138	122	92
西门剑姬	2	299	138	122	92
西门剑姬	2	441	138	122	92
西门剑姬	6	15	758	122	82
魔兽显血改键工具	1	15	5	550	26
众泰t600运动版	1	0	0	122	92
众泰t600运动版	4	15	795	122	82
一般将来时	5	15	533	122	82
租店面	9	15	1187	122	82
钟馗伏魔+雪妖魔灵mp4	1	15	36	122	92
钟馗伏魔+雪妖魔灵mp4	1	157	36	122	92
钟馗伏魔+雪妖魔灵mp4	1	299	36	122	92
钟馗伏魔+雪妖魔灵mp4	1	441	36	122	92
钟馗伏魔+雪妖魔灵mp4	4	15	486	122	82
传奇墨舞碧歌最新章节	1	16	145	90	15
结对帮扶+义诊	5	15	508	122	82
罗汉说鸽	2	15	138	122	92
罗汉说鸽	2	157	138	122	92
罗汉说鸽	2	299	138	122	92
罗汉说鸽	2	441	138	122	92
罗汉说鸽	6	15	670	122	82
罗汉说鸽	7	15	910	67	67
王宗岳太极拳论解释	6	15	675	122	82
星座屋	3	15	238	67	67
星座屋	6	0	0	100	103
星座屋	7	15	808	122	82
钓鱼杆绑线技巧	2	15	226	122	92
钓鱼杆绑线技巧	2	157	226	122	92
钓鱼杆绑线技巧	2	299	226	122	92
钓鱼杆绑线技巧	2	441	226	122	92
小龙的随身空间	1	15	176	130	15
小龙的随身空间	1	15	299	130	15
小龙的随身空间	1	15	422	130	15
小龙的随身空间	1	15	545	130	15
小龙的随身空间	1	15	668	130	15
小龙的随身空间	6	15	1363	122	82
拼音输入法下载	1	45	61	42	15
拼音输入法下载	1	45	106	42	15
拼音输入法下载	1	45	151	42	15
拼音输入法下载	1	45	196	42	15
拼音输入法下载	1	45	241	42	15
ea888发动机优缺点	10	15	1155	122	82
碟中谍3高清在线观看	3	15	654	42	15
碟中谍3高清在线观看	3	57	654	55	15
碟中谍3高清在线观看	3	112	654	42	15
碟中谍3高清在线观看	3	154	654	55	15
碟中谍3高清在线观看	3	209	654	42	15
塔尔寺	2	15	561	122	82
塔尔寺	2	15	664	122	82
塔尔寺	2	15	767	122	82
塔尔寺	2	15	870	122	82
塔尔寺	5	15	1373	220	15
塔尔寺	6	15	1450	122	82
塔尔寺	8	15	1878	32	32
塔尔寺	8	15	1931	32	32
塔尔寺	8	15	1984	32	32
塔尔寺	8	15	2037	32	32
塔尔寺	8	15	2090	32	32
客厅灯	1	15	418	4	15
客厅灯	1	15	464	4	15
客厅灯	1	15	510	4	15
客厅灯	1	15	556	4	15
客厅灯	6	15	1011	122	82
刀剑神域2土豆观看	1	15	64	140	107
中建三局招聘	6	15	716	122	82
精神文明建设	7	15	771	122	82
四川腊肉	3	15	451	122	92
四川腊肉	3	157	451	122	92
四川腊肉	3	299	451	122	92
四川腊肉	3	441	451	122	92
四川腊肉	4	15	753	4	15
四川腊肉	4	15	799	4	15
四川腊肉	4	15	860	4	15
四川腊肉	4	15	906	4	15
四川腊肉	7	15	1297	122	82
克罗地亚战警	4	15	391	122	92
克罗地亚战警	4	157	391	122	92
克罗地亚战警	4	299	391	122	92
克罗地亚战警	4	441	391	122	92
克罗地亚战警	6	15	696	122	82
天使妹妹	4	15	385	122	92
天使妹妹	4	157	385	122	92
天使妹妹	4	299	385	122	92
天使妹妹	4	441	385	122	92
天使妹妹	8	15	957	122	82
豆角烧茄子	2	15	166	92	92
豆角烧茄子	6	15	716	122	82
app制作软件	6	15	592	122	82
论文封面	5	15	881	122	82
论文封面	6	15	1091	550	26
论文封面	6	187	1095	41	19
铠甲战士	2	15	205	122	92
铠甲战士	2	157	205	122	92
铠甲战士	2	299	205	122	92
铠甲战士	2	441	205	122	92
铠甲战士	5	15	857	122	82
球粒陨石	5	15	698	122	82
易物天下骗局	6	15	550	122	82
秒赞秒评	8	15	836	122	82
连环画	4	0	0	122	92
连环画	6	15	653	122	82
分公司如何纳税	6	15	722	122	82
回到三国当保镖	1	15	6	550	24
回到三国当保镖	1	15	115	75	15
回到三国当保镖	1	97	33	246	76
回到三国当保镖	2	16	309	90	15
南国的孩子+张悬+吉他谱	4	15	566	122	82
岳西在线家园	9	15	940	122	82
批发零售用地	9	15	932	122	82
杭州地铁5号线站点	4	15	365	122	82
宫锁珠帘+电视剧	1	26	168	120	15
宫锁珠帘+电视剧	1	26	292	41	15
宫锁珠帘+电视剧	7	15	1116	122	82
千与千寻	2	15	476	42	15
千与千寻	9	15	1759	122	82
闪电侠第二季	7	15	940	122	82
消石素	2	15	189	4	15
消石素	2	15	235	4	15
消石素	2	15	281	4	15
消石素	2	15	327	4	15
消石素	7	15	914	122	82
斯拉格精灵中文版全集	1	15	179	120	15
斯拉格精灵中文版全集	1	15	290	77	32
奥林匹克公园	1	15	5	550	26
奥林匹克公园	2	15	431	220	15
奥林匹克公园	6	15	972	122	82
奥林匹克公园	9	15	1500	32	32
HP862墨盒	1	15	92	4	15
HP862墨盒	1	15	153	4	15
HP862墨盒	1	15	214	4	15
HP862墨盒	1	15	260	4	15
漂洋过海来看你吉他谱	10	15	1042	122	82
当你老了吉他谱	5	15	646	122	82
日语输入法下载	1	45	61	42	15
日语输入法下载	1	45	106	42	15
日语输入法下载	1	45	151	42	15
日语输入法下载	1	45	196	42	15
翡翠观音寓意	7	15	782	122	82
搞笑签名	6	15	761	122	82
极品时刻表	5	15	496	122	82
联合早报	1	15	5	550	26
联合早报	9	15	1149	122	82
faker第一视角	8	15	843	122	82
神奇四侠2免费观看	3	16	285	120	160
神奇四侠2免费观看	3	291	421	35	16
神奇四侠2免费观看	3	386	417	24	22
神奇四侠2免费观看	8	15	1079	122	82
水泥价格今日报价	2	15	164	4	15
水泥价格今日报价	2	15	210	4	15
水泥价格今日报价	2	15	256	4	15
水泥价格今日报价	2	15	302	4	15
