query	rank	left	top	width	height
河北科技大学	1	19	13	642	164
河北科技大学	2	19	181	642	117
河北科技大学	3	19	302	642	132
河北科技大学	4	19	438	642	175
河北科技大学	5	19	617	642	316
河北科技大学	6	19	937	642	108
河北科技大学	7	15	1067	550	233
河北科技大学	8	15	1312	550	87
河北科技大学	9	15	1412	550	87
河北科技大学	10	15	1512	550	87
火影忍者下载+迅雷下载	1	15	5	550	87
火影忍者下载+迅雷下载	2	15	105	550	87
火影忍者下载+迅雷下载	3	15	205	548	90
火影忍者下载+迅雷下载	4	15	307	550	180
火影忍者下载+迅雷下载	5	15	499	550	87
火影忍者下载+迅雷下载	6	15	599	548	90
火影忍者下载+迅雷下载	7	15	701	548	90
火影忍者下载+迅雷下载	8	15	803	550	112
火影忍者下载+迅雷下载	9	15	927	550	134
火影忍者下载+迅雷下载	10	15	1073	550	132
北京丰台建都医院	1	15	5	550	107
北京丰台建都医院	2	15	125	550	175
北京丰台建都医院	3	15	312	550	107
北京丰台建都医院	4	15	432	550	107
北京丰台建都医院	5	15	552	550	316
北京丰台建都医院	6	15	880	550	107
北京丰台建都医院	7	15	1000	550	180
北京丰台建都医院	8	15	1192	548	110
北京丰台建都医院	9	15	1314	550	107
北京丰台建都医院	10	15	1434	548	110
幸福像花儿一样+电视剧	1	16	10	548	390
幸福像花儿一样+电视剧	2	16	400	548	262
幸福像花儿一样+电视剧	3	15	679	550	158
幸福像花儿一样+电视剧	4	15	849	548	90
幸福像花儿一样+电视剧	5	15	951	550	135
幸福像花儿一样+电视剧	6	15	1098	550	135
幸福像花儿一样+电视剧	7	15	1245	548	90
幸福像花儿一样+电视剧	8	15	1347	550	184
幸福像花儿一样+电视剧	9	15	1543	550	134
幸福像花儿一样+电视剧	10	15	1689	550	118
邱县贴吧最新消息	1	15	5	550	87
邱县贴吧最新消息	2	15	105	550	87
邱县贴吧最新消息	3	15	205	550	178
邱县贴吧最新消息	4	15	395	550	87
邱县贴吧最新消息	5	15	495	550	87
邱县贴吧最新消息	6	15	595	550	233
邱县贴吧最新消息	7	15	840	548	90
邱县贴吧最新消息	8	15	942	548	90
邱县贴吧最新消息	9	15	1044	548	90
邱县贴吧最新消息	10	15	1146	550	112
思量qq亮钻大师	1	15	5	550	118
思量qq亮钻大师	2	15	135	550	118
思量qq亮钻大师	3	15	265	548	90
思量qq亮钻大师	4	15	367	548	90
思量qq亮钻大师	5	15	469	550	118
思量qq亮钻大师	6	15	599	550	87
思量qq亮钻大师	7	15	699	550	87
思量qq亮钻大师	8	15	799	548	90
思量qq亮钻大师	9	15	901	548	90
思量qq亮钻大师	10	15	1003	550	87
nba2015全明星赛	1	15	5	550	87
nba2015全明星赛	2	15	105	550	180
nba2015全明星赛	3	15	297	548	90
nba2015全明星赛	4	15	399	550	134
nba2015全明星赛	5	15	545	550	206
nba2015全明星赛	6	15	763	550	228
nba2015全明星赛	7	15	1003	550	118
nba2015全明星赛	8	15	1133	550	178
nba2015全明星赛	9	15	1323	548	90
nba2015全明星赛	10	15	1425	550	98
基督教儿歌大全100首	1	15	5	550	87
基督教儿歌大全100首	2	15	105	548	90
基督教儿歌大全100首	3	15	207	550	87
基督教儿歌大全100首	4	15	307	550	87
基督教儿歌大全100首	5	15	407	550	98
基督教儿歌大全100首	6	15	517	548	90
基督教儿歌大全100首	7	15	619	550	158
基督教儿歌大全100首	8	15	789	550	87
基督教儿歌大全100首	9	15	889	550	98
基督教儿歌大全100首	10	15	999	550	87
致我们终将逝去的青春电影完整版	1	0	0	0	0
致我们终将逝去的青春电影完整版	2	15	308	550	236
致我们终将逝去的青春电影完整版	3	15	556	550	118
致我们终将逝去的青春电影完整版	4	15	686	550	140
致我们终将逝去的青春电影完整版	5	15	838	550	134
致我们终将逝去的青春电影完整版	6	15	984	550	166
致我们终将逝去的青春电影完整版	7	15	1162	548	90
致我们终将逝去的青春电影完整版	8	15	1264	548	90
致我们终将逝去的青春电影完整版	9	15	1366	550	118
致我们终将逝去的青春电影完整版	10	15	1496	548	90
学驾照科目一模拟考试	1	15	5	548	90
学驾照科目一模拟考试	2	15	107	550	110
学驾照科目一模拟考试	3	15	229	548	90
学驾照科目一模拟考试	4	15	331	548	90
学驾照科目一模拟考试	5	15	433	550	90
学驾照科目一模拟考试	6	15	535	548	90
学驾照科目一模拟考试	7	15	637	550	160
学驾照科目一模拟考试	8	15	809	550	90
学驾照科目一模拟考试	9	15	911	548	90
学驾照科目一模拟考试	10	15	1013	550	87
最近10天电影	1	15	5	548	90
最近10天电影	2	15	107	550	87
最近10天电影	3	15	207	550	87
最近10天电影	4	15	307	550	233
最近10天电影	5	15	552	550	160
最近10天电影	6	15	724	550	228
最近10天电影	7	15	964	550	87
最近10天电影	8	15	1064	550	87
最近10天电影	9	15	1164	550	87
最近10天电影	10	15	1264	550	87
比亚迪唐最新消息	1	15	5	550	87
比亚迪唐最新消息	2	15	105	548	90
比亚迪唐最新消息	3	15	207	548	90
比亚迪唐最新消息	4	15	309	550	178
比亚迪唐最新消息	5	15	499	550	228
比亚迪唐最新消息	6	15	739	550	87
比亚迪唐最新消息	7	15	839	548	90
比亚迪唐最新消息	8	15	941	548	90
比亚迪唐最新消息	9	15	1043	550	87
比亚迪唐最新消息	10	15	1143	550	112
怎样邀请好友加入群	1	15	5	550	90
怎样邀请好友加入群	2	15	107	550	90
怎样邀请好友加入群	3	15	209	548	90
怎样邀请好友加入群	4	15	311	550	180
怎样邀请好友加入群	5	15	503	548	90
怎样邀请好友加入群	6	15	605	550	228
怎样邀请好友加入群	7	15	845	550	92
怎样邀请好友加入群	8	15	949	550	112
怎样邀请好友加入群	9	15	1073	550	87
怎样邀请好友加入群	10	15	1173	550	87
肝火旺的症状	1	15	5	550	113
肝火旺的症状	2	15	130	550	205
肝火旺的症状	3	15	347	550	90
肝火旺的症状	4	15	449	550	87
肝火旺的症状	5	15	549	550	162
肝火旺的症状	6	15	723	550	228
肝火旺的症状	7	15	963	550	156
肝火旺的症状	8	15	1131	550	156
肝火旺的症状	9	15	1299	550	112
肝火旺的症状	10	15	1423	550	87
用电饭锅怎么做蛋糕	1	15	5	550	90
用电饭锅怎么做蛋糕	2	15	107	550	90
用电饭锅怎么做蛋糕	3	15	209	550	113
用电饭锅怎么做蛋糕	4	15	334	550	202
用电饭锅怎么做蛋糕	5	15	548	548	90
用电饭锅怎么做蛋糕	6	15	650	550	112
用电饭锅怎么做蛋糕	7	15	774	550	112
用电饭锅怎么做蛋糕	8	15	898	550	228
用电饭锅怎么做蛋糕	9	15	1138	550	112
用电饭锅怎么做蛋糕	10	15	1262	550	178
小学美术教案+简笔画	1	15	5	550	178
小学美术教案+简笔画	2	15	195	550	112
小学美术教案+简笔画	3	15	319	550	87
小学美术教案+简笔画	4	15	419	550	87
小学美术教案+简笔画	5	15	519	550	87
小学美术教案+简笔画	6	15	619	550	90
小学美术教案+简笔画	7	15	721	550	67
小学美术教案+简笔画	8	15	801	550	90
小学美术教案+简笔画	9	15	903	550	112
小学美术教案+简笔画	10	15	1027	550	87
刘老根大舞台	1	15	5	550	206
刘老根大舞台	2	15	223	550	98
刘老根大舞台	3	15	333	550	87
刘老根大舞台	4	15	433	550	98
刘老根大舞台	5	15	543	550	255
刘老根大舞台	6	15	810	550	87
刘老根大舞台	7	15	1132	550	113
刘老根大舞台	8	15	1257	550	228
刘老根大舞台	9	15	1497	548	90
睿德二元期权可靠吗	1	15	5	550	309
睿德二元期权可靠吗	2	15	326	550	156
睿德二元期权可靠吗	3	15	494	550	112
睿德二元期权可靠吗	4	15	618	550	87
睿德二元期权可靠吗	5	15	718	550	134
睿德二元期权可靠吗	6	15	864	548	90
睿德二元期权可靠吗	7	15	966	550	87
睿德二元期权可靠吗	8	15	1066	550	92
睿德二元期权可靠吗	9	15	1170	550	134
睿德二元期权可靠吗	10	15	1316	550	112
新农村	1	15	312	550	87
新农村	2	15	412	550	87
新农村	3	15	512	550	316
新农村	4	15	840	550	153
新农村	5	15	1005	550	228
新农村	6	15	1245	550	178
新农村	7	15	1435	550	233
新农村	8	15	1680	550	90
新农村	9	15	1782	550	234
卫生间装修效果图小户型	1	15	326	550	90
卫生间装修效果图小户型	2	15	428	550	87
卫生间装修效果图小户型	3	15	528	548	90
卫生间装修效果图小户型	4	15	630	548	90
卫生间装修效果图小户型	5	15	732	550	228
卫生间装修效果图小户型	6	15	972	548	90
卫生间装修效果图小户型	7	15	1074	548	90
卫生间装修效果图小户型	8	15	1176	548	90
卫生间装修效果图小户型	9	15	1278	548	90
qq音乐2015年度盛典	1	15	5	548	90
qq音乐2015年度盛典	2	15	107	550	180
qq音乐2015年度盛典	3	15	299	548	90
qq音乐2015年度盛典	4	15	401	550	206
qq音乐2015年度盛典	5	15	619	548	90
qq音乐2015年度盛典	6	15	721	550	112
qq音乐2015年度盛典	7	15	845	550	87
qq音乐2015年度盛典	8	15	945	550	228
qq音乐2015年度盛典	9	15	1185	550	98
qq音乐2015年度盛典	10	15	1295	550	92
自己怎样盘发简单好看	1	15	5	550	90
自己怎样盘发简单好看	2	15	107	550	90
自己怎样盘发简单好看	3	15	209	550	158
自己怎样盘发简单好看	4	15	379	550	112
自己怎样盘发简单好看	5	15	503	548	90
自己怎样盘发简单好看	6	15	605	550	140
自己怎样盘发简单好看	7	15	757	550	206
自己怎样盘发简单好看	8	15	975	550	118
自己怎样盘发简单好看	9	15	1105	550	87
自己怎样盘发简单好看	10	15	1205	550	118
倚天屠龙记小说	1	15	5	548	90
倚天屠龙记小说	2	15	107	550	87
倚天屠龙记小说	3	15	207	548	90
倚天屠龙记小说	4	15	309	550	133
倚天屠龙记小说	5	15	454	550	228
倚天屠龙记小说	6	15	694	550	233
倚天屠龙记小说	7	15	939	550	87
倚天屠龙记小说	8	15	1039	550	234
倚天屠龙记小说	9	15	1285	550	166
倚天屠龙记小说	10	15	1463	550	87
述职述廉报告	1	15	5	550	87
述职述廉报告	2	15	105	550	87
述职述廉报告	3	15	205	550	87
述职述廉报告	4	15	305	550	87
述职述廉报告	5	15	405	550	87
述职述廉报告	6	15	505	550	228
述职述廉报告	7	15	745	550	87
述职述廉报告	8	15	845	550	180
述职述廉报告	9	15	1037	550	87
述职述廉报告	10	15	1137	550	112
365新年快乐	1	15	5	550	87
365新年快乐	2	15	105	550	202
365新年快乐	3	15	319	550	87
365新年快乐	4	15	419	550	87
365新年快乐	5	15	519	548	90
365新年快乐	6	15	621	548	90
365新年快乐	7	15	723	550	87
365新年快乐	8	15	823	550	112
365新年快乐	9	15	947	550	228
365新年快乐	10	15	1187	548	70
三国志刘备传修改器	1	15	5	550	231
三国志刘备传修改器	2	15	248	550	118
三国志刘备传修改器	3	15	378	550	118
三国志刘备传修改器	4	15	508	548	90
三国志刘备传修改器	5	15	610	548	90
三国志刘备传修改器	6	15	712	550	158
三国志刘备传修改器	7	15	882	550	87
三国志刘备传修改器	8	15	982	550	118
三国志刘备传修改器	9	15	1112	550	67
三国志刘备传修改器	10	15	1192	550	118
努比亚（nubia）小牛4+Z9mini	1	15	5	548	90
努比亚（nubia）小牛4+Z9mini	2	15	107	548	90
努比亚（nubia）小牛4+Z9mini	3	15	209	548	90
努比亚（nubia）小牛4+Z9mini	4	15	311	548	90
努比亚（nubia）小牛4+Z9mini	5	15	413	550	87
努比亚（nubia）小牛4+Z9mini	6	15	513	548	90
努比亚（nubia）小牛4+Z9mini	7	15	615	548	90
努比亚（nubia）小牛4+Z9mini	8	15	717	548	90
努比亚（nubia）小牛4+Z9mini	9	15	819	548	90
努比亚（nubia）小牛4+Z9mini	10	15	921	548	90
菏泽公墓	1	15	5	550	220
菏泽公墓	2	15	237	550	87
菏泽公墓	3	15	337	550	87
菏泽公墓	4	15	437	550	90
菏泽公墓	5	15	539	550	228
菏泽公墓	6	15	779	550	90
菏泽公墓	7	15	881	550	87
菏泽公墓	8	15	981	550	87
菏泽公墓	9	15	1081	550	87
菏泽公墓	10	15	1181	550	87
通用pe工具箱	1	15	5	550	87
通用pe工具箱	2	15	105	550	231
通用pe工具箱	3	15	348	550	87
通用pe工具箱	4	15	448	550	118
通用pe工具箱	5	15	578	550	118
通用pe工具箱	6	15	708	550	184
通用pe工具箱	7	15	904	550	112
通用pe工具箱	8	15	1028	550	118
通用pe工具箱	9	15	1158	550	113
通用pe工具箱	10	15	1283	550	118
深圳市格美奇科技有限公司	1	15	5	550	67
深圳市格美奇科技有限公司	2	15	85	550	283
深圳市格美奇科技有限公司	3	15	381	550	220
深圳市格美奇科技有限公司	4	15	613	550	87
深圳市格美奇科技有限公司	5	15	713	550	87
深圳市格美奇科技有限公司	6	15	813	550	87
深圳市格美奇科技有限公司	7	15	913	550	87
深圳市格美奇科技有限公司	8	15	1013	550	87
深圳市格美奇科技有限公司	9	15	1113	550	87
深圳市格美奇科技有限公司	10	15	1213	550	87
