query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
河北科技大学	6	9	0.950437317784	6	0.101121744502	4	8	0.890566037736	2	0.0621573698544	2	1	0.0598712800484	4	0.0389643746479	
火影忍者下载+迅雷下载	3	7	0.748520710059	5	0.0831756890522	2	7	0.760330578512	0	0.0	1	0	-0.0118098684532	5	0.0831756890522	
北京丰台建都医院	4	7	0.772117962466	4	0.169555265422	4	5	0.63456284153	3	0.0912232985594	0	2	0.137555120936	1	0.0783319668628	
邱县贴吧最新消息	4	10	1.0	7	0.0881208576333	2	6	0.695538057743	1	0.0236761313927	2	4	0.304461942257	6	0.0644447262407	
思量qq亮钻大师	3	9	0.922232387923	5	0.0804562321226	2	7	0.735025380711	1	0.0207180433779	1	2	0.187207007212	4	0.0597381887447	
nba2015全明星赛	3	7	0.769092542677	6	0.0941659402065	5	9	0.938254080908	5	0.0708432802116	-2	-2	-0.169161538231	1	0.0233226599949	
基督教儿歌大全100首	4	7	0.752667313288	6	0.10340053148	3	5	0.551083591331	0	0.0	1	2	0.201583721957	6	0.10340053148	
致我们终将逝去的青春电影完整版	4	6	0.722448979592	5	0.0995099006145	2	9	1.0	0	0.0	2	-3	-0.277551020408	5	0.0995099006145	
学驾照科目一模拟考试	2	7	0.767335766423	11	0.174137790682	3	9	0.920980926431	4	0.0609957889522	-1	-2	-0.153645160007	7	0.11314200173	
最近10天电影	3	3	0.427333974976	5	0.0950281046617	4	4	0.576642335766	1	0.0147518985475	-1	-1	-0.14930836079	4	0.0802762061142	
比亚迪唐最新消息	4	9	0.938001458789	12	0.160369198398	4	7	0.770851624232	1	0.0159693511054	0	2	0.167149834557	11	0.144399847293	
怎样邀请好友加入群	4	10	1.0	11	0.160545169812	5	8	0.86320754717	5	0.0784734133791	-1	2	0.13679245283	6	0.082071756433	
肝火旺的症状	4	10	1.0	7	0.0980343543723	6	8	0.887596899225	6	0.0965586093493	-2	2	0.112403100775	1	0.00147574502295	
用电饭锅怎么做蛋糕	5	10	1.0	20	0.234072554801	5	10	1.0	7	0.0899379762538	0	0	0.0	13	0.144134578547	
小学美术教案+简笔画	4	6	0.684308263695	4	0.0857382996276	2	5	0.591937069813	0	0.0	2	1	0.0923711938823	4	0.0857382996276	
刘老根大舞台	6	8	0.903560830861	12	0.238427023926	6	8	0.883534136546	9	0.158578556651	0	0	0.0200266943143	3	0.0798484672756	
睿德二元期权可靠吗	3	3	0.314315352697	1	0.0174979561616	4	8	0.867479055598	0	0.0	-1	-5	-0.553163702901	1	0.0174979561616	
新农村	7	9	0.94498381877	7	0.130948857689	5	8	0.911224489796	10	0.179125231911	2	1	0.0337593289743	-3	-0.0481763742216	
卫生间装修效果图小户型	4	10	1.0	18	0.299451107658	4	9	0.932766615147	9	0.211504847548	0	1	0.0672333848532	9	0.0879462601098	
qq音乐2015年度盛典	4	8	0.855574324324	9	0.146455528484	5	9	0.9375	8	0.121266980146	-1	-1	-0.0819256756757	1	0.0251885483376	
自己怎样盘发简单好看	4	9	0.931062449311	12	0.185324879325	5	9	0.928039702233	5	0.0825625986916	-1	0	0.00302274707737	7	0.102762280634	
述职述廉报告	2	2	0.298969072165	0	0.0	3	3	0.460584588131	1	0.0161107979709	-1	-1	-0.161615515966	-1	-0.0161107979709	
365新年快乐	3	5	0.582317073171	2	0.0342846132922	3	6	0.702054794521	2	0.0311457036115	0	-1	-0.11973772135	0	0.00313890968077	
三国志刘备传修改器	4	9	0.929166666667	8	0.124448574969	4	8	0.871129707113	2	0.0283849372385	0	1	0.0580369595537	6	0.0960636377305	
努比亚（nubia）小牛4+Z9mini	3	9	0.912653061224	10	0.155938092709	1	9	0.905945945946	1	0.0196638820639	2	0	0.00670711527854	9	0.136274210645	
菏泽公墓	2	2	0.314516129032	2	0.101445392133	3	4	0.55	2	0.0749905956113	-1	-2	-0.235483870968	0	0.0264547965221	
通用pe工具箱	6	10	1.0	8	0.107173541931	4	8	0.864696734059	3	0.0405202884208	2	2	0.135303265941	5	0.0666532535103	
深圳市格美奇科技有限公司	1	1	0.283036551078	0	0.0	2	2	0.431455004205	1	0.0578637510513	-1	-1	-0.148418453127	-1	-0.0578637510513	
抛釉砖的缺点	5	8	0.86410871303	11	0.171933828402	5	6	0.727272727273	1	0.0142547734397	0	2	0.136835985757	10	0.157679054962	
pdf打印机破解版+win7	3	9	0.923285198556	8	0.125038583871	4	9	0.916905444126	0	0.0	-1	0	0.00637975442988	8	0.125038583871	
dmi指标详解	3	6	0.667279411765	3	0.0498185682265	6	10	1.0	1	0.0143901035673	-3	-4	-0.332720588235	2	0.0354284646592	
地震中的父与子小练笔	3	5	0.621886120996	1	0.0150071438966	3	7	0.778249787596	0	0.0	0	-2	-0.156363666599	1	0.0150071438966	
电脑壁纸高清	2	8	0.879432624113	16	0.320689973371	3	8	0.87072808321	9	0.12552883966	-1	0	0.00870454090397	7	0.195161133712	
叠像术	3	4	0.536363636364	0	0.0	3	6	0.666026871401	0	0.0	0	-2	-0.129663235038	0	0.0	
html文档的基本结构	4	4	0.578860445912	1	0.0139290088685	5	10	1.0	1	0.0122238514174	-1	-6	-0.421139554088	0	0.00170515745112	
胎盘组织液的作用	3	7	0.810830860534	1	0.020188245287	4	6	0.710482529118	2	0.0509060656482	-1	1	0.100348331416	-1	-0.0307178203612	
幼儿园春季育儿知识	2	5	0.538545059718	2	0.0366298148529	5	8	0.858536585366	1	0.0147878787879	-3	-3	-0.319991525648	1	0.0218419360651	
winxp+ghost+下载	1	8	0.835748792271	8	0.130380906201	3	6	0.652694610778	0	0.0	-2	2	0.183054181492	8	0.130380906201	
黄河是怎样变化的主要内容	3	6	0.722817764165	0	0.0	1	5	0.616740088106	0	0.0	2	1	0.10607767606	0	0.0	
简单科学小发明小制作	2	8	0.847942754919	7	0.105613781913	4	9	0.925957446809	2	0.0309601547389	-2	-1	-0.078014691889	5	0.0746536271739	
花的种类大全图鉴图片	4	9	0.94907130018	20	0.29173692147	3	8	0.819875776398	1	0.0188292866554	1	1	0.129195523782	19	0.272907634814	
新疆舞蹈视频大全	2	9	0.930098684211	11	0.18366177118	2	9	0.921692169217	6	0.108213730464	0	0	0.0084065149936	5	0.0754480407159	
全国劳动模范先进事迹	3	5	0.63456577816	1	0.0145038948751	4	5	0.644897959184	1	0.0148482374768	-1	0	-0.0103321810237	0	-0.000344342601678	
qq空间电影	4	6	0.755980861244	7	0.126765799257	3	5	0.629080118694	1	0.0179911878428	1	1	0.12690074255	6	0.108774611414	
我的纪录片	4	8	0.864757358791	10	0.15709498925	5	9	0.928217821782	5	0.0823582358236	-1	-1	-0.0634604629914	5	0.0747367534262	
ysl口红57号	4	9	0.928810720268	10	0.16300056665	3	10	1.0	4	0.0918707506834	1	-1	-0.071189279732	6	0.0711298159665	
坐庄+迅雷高清	2	2	0.25601750547	1	0.01845517477	3	5	0.593275488069	0	0.0	-1	-3	-0.337257982599	1	0.01845517477	
怎样看股票走势图	4	9	0.932432432432	11	0.165372840586	5	8	0.867881548975	6	0.0896030924277	-1	1	0.0645508834575	5	0.0757697481584	
吸鱼机	4	10	1.0	13	0.196560289342	3	6	0.611607142857	0	0.0	1	4	0.388392857143	13	0.196560289342	
粉宝乐园	4	6	0.738662567256	6	0.119969197272	5	7	0.678082191781	2	0.0294728102947	-1	-1	0.0605803754751	4	0.090496386977	
冯辉轮滑视频	1	9	0.92928452579	10	0.17027073836	3	9	0.93023255814	5	0.0800466574324	-2	0	-0.000948032349186	5	0.0902240809281	
死亡循环2txt下载	2	3	0.391437308869	2	0.0343894592044	3	5	0.556574923547	1	0.0185413770735	-1	-2	-0.165137614679	1	0.015848082131	
