@relation output

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute baidu_rank_by_type_1 numeric
@attribute baidu_position_y_1 numeric
@attribute baidu_height_1 numeric
@attribute baidu_distance_by_type_1 numeric
@attribute baidu_title_char_length_1 numeric
@attribute baidu_title_word_length_1 numeric
@attribute baidu_title_matches_1 numeric
@attribute baidu_snippet_char_length_1 numeric
@attribute baidu_snippet_word_length_1 numeric
@attribute baidu_snippet_matches_1 numeric
@attribute baidu_vertical_type_1 {forum,encyclopedia,image_text,organic,video,reading,download,others,image,news,experience,gps_map}
@attribute baidu_images_number_1 numeric
@attribute baidu_images_area_fraction_1 numeric
@attribute baidu_is_vertical_1 numeric
@attribute baidu_is_identical_url_1 numeric
@attribute baidu_had_image_1 numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute sogou_rank_by_type_1 numeric
@attribute sogou_position_y_1 numeric
@attribute sogou_height_1 numeric
@attribute sogou_distance_by_type_1 numeric
@attribute sogou_title_char_length_1 numeric
@attribute sogou_title_word_length_1 numeric
@attribute sogou_title_matches_1 numeric
@attribute sogou_snippet_char_length_1 numeric
@attribute sogou_snippet_word_length_1 numeric
@attribute sogou_snippet_matches_1 numeric
@attribute sogou_vertical_type_1 {organic,image_text,download,others,video,reading,forum,experience,image,news,encyclopedia,gps_map}
@attribute sogou_images_number_1 numeric
@attribute sogou_images_area_fraction_1 numeric
@attribute sogou_is_vertical_1 numeric
@attribute sogou_is_identical_url_1 numeric
@attribute sogou_had_image_1 numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute delta_position_y_1 numeric
@attribute delta_height_1 numeric
@attribute delta_title_char_length_1 numeric
@attribute delta_title_word_length_1 numeric
@attribute delta_title_matches_1 numeric
@attribute delta_snippet_char_length_1 numeric
@attribute delta_snippet_word_length_1 numeric
@attribute delta_snippet_matches_1 numeric
@attribute delta_images_number_1 numeric
@attribute delta_images_area_fraction_1 numeric
@attribute delta_is_vertical_1 numeric
@attribute delta_is_identical_url_1 numeric
@attribute delta_had_image_1 numeric
@attribute preference {different,tie}

@data
30,4,3,5,0.610555,0,0,1,5,251,0,0,0,0,0,0,0,forum,0,0,1,0,0,1,3,0.398815,0,0,1,5,87,0,68,15,4,234,49,10,organic,0,0,0,0,0,2,2,0.21174,0,0,0,164,-68,-15,-4,-234,-49,-10,0,0,1,0,0,different
12,2,5,8,0.883001,5,0.06617,1,5,169,0,19,4,2,504,104,2,encyclopedia,1,0.186314,1,0,1,4,8,0.860353,2,0.029196,1,5,118,0,92,20,5,0,0,0,image_text,1,0.154707,1,0,1,1,0,0.022648,3,0.036974,0,51,-73,-16,-3,504,104,2,0,0.031606,0,0,0,different
24,4,3,7,0.741784,6,0.095031,1,5,129,0,89,18,2,206,59,9,image_text,1,0.13076,1,0,1,2,5,0.520397,0,0,1,5,90,0,79,16,3,0,0,0,image_text,0,0,1,0,0,1,2,0.221387,6,0.095031,0,39,10,2,-1,206,59,9,1,0.13076,0,0,1,different
27,5,2,5,0.581461,3,0.047382,1,5,85,0,38,8,3,182,43,6,organic,0,0,0,0,0,5,8,0.843243,0,0,1,5,98,0,49,9,4,0,0,0,download,0,0,1,0,0,-3,-3,-0.261783,3,0.047382,0,-13,-11,-1,-1,182,43,6,0,0,-1,0,0,different
18,3,2,9,0.921369,9,0.143766,1,5,109,0,70,14,3,226,47,3,image_text,1,0.154753,1,1,1,3,6,0.656466,1,0.015192,1,5,128,0,70,14,3,0,0,0,others,1,0.120227,1,1,1,-1,3,0.264903,8,0.128574,0,-19,0,0,0,226,47,3,0,0.034525,0,0,0,tie
8,2,4,9,0.927101,10,0.164147,1,5,210,0,42,9,4,0,0,0,video,4,0.389839,1,0,1,5,10,1,14,0.19122,1,5,410,0,84,18,0,192,42,1,others,4,0.376266,1,0,1,-1,-1,-0.072899,-4,-0.027072,0,-200,-42,-9,4,-192,-42,-1,0,0.013573,0,0,0,different
18,3,2,3,0.335759,2,0.035069,1,5,107,0,26,7,1,219,48,1,organic,0,0,0,0,0,3,7,0.750239,0,0,1,5,112,0,86,19,0,0,0,0,others,0,0,1,0,0,-1,-4,-0.41448,2,0.035069,0,-5,-60,-12,1,219,48,1,0,0,-1,0,0,tie
11,2,3,9,0.923894,9,0.154449,1,5,210,0,45,9,4,0,0,0,video,4,0.389839,1,0,1,4,10,1,5,0.090415,1,5,92,0,66,17,2,0,0,0,video,0,0,1,0,0,-1,-1,-0.076106,4,0.064034,0,118,-21,-8,2,0,0,0,4,0.389839,0,0,1,different
27,5,2,4,0.428891,0,0,1,5,85,0,34,7,4,223,48,9,reading,0,0,1,0,0,4,6,0.680147,0,0,1,5,178,0,55,11,4,0,0,0,reading,0,0,1,0,0,-2,-2,-0.251256,0,0,0,-93,-21,-4,0,223,48,9,0,0,0,0,0,different
22,4,4,10,1,12,0.132276,1,5,114,0,78,18,4,190,52,5,download,0,0,1,0,0,3,10,1,2,0.034186,1,5,118,0,54,11,5,0,0,0,image_text,1,0.154707,1,0,1,1,0,0,10,0.098089,0,-4,24,7,-1,190,52,5,-1,-0.154707,0,0,-1,different
21,5,2,6,0.663366,5,0.083505,1,5,85,0,86,24,4,211,57,5,organic,0,0,0,0,0,2,7,0.730123,0,0,1,5,87,0,42,8,2,224,49,7,organic,0,0,0,0,0,0,-1,-0.066757,5,0.083505,0,-2,44,16,2,-13,8,-2,0,0,0,0,0,different
24,5,3,6,0.675573,4,0.065669,1,5,105,0,50,13,4,211,47,7,forum,0,0,1,0,0,4,7,0.775194,1,0.015667,1,5,178,0,31,7,5,0,0,0,reading,0,0,1,0,0,-1,-1,-0.099621,3,0.050003,0,-73,19,6,-1,211,47,7,0,0,0,0,0,different
18,3,4,10,1,13,0.166905,1,5,233,0,46,8,3,0,0,0,download,1,0.025017,1,0,1,4,9,0.939751,9,0.118942,1,5,87,0,75,14,3,177,32,7,organic,0,0,0,0,0,0,1,0.060249,4,0.047963,0,146,-29,-6,0,-177,-32,-7,1,0.025017,1,0,1,different
21,4,3,5,0.616079,2,0.033726,1,5,134,0,52,10,4,233,59,1,others,1,0.152735,1,1,1,3,6,0.768463,7,0.081623,1,5,144,0,52,10,4,0,0,0,reading,0,0,1,1,0,0,-1,-0.152384,-5,-0.047898,0,-10,0,0,0,233,59,1,1,0.152735,0,0,1,different
27,5,3,3,0.392237,2,0.045027,1,5,85,0,81,21,10,165,43,5,organic,0,0,0,0,0,5,8,0.853535,5,0.085889,1,5,128,0,90,22,9,0,0,0,others,1,0.159432,1,0,1,-2,-5,-0.461298,-3,-0.040862,0,-43,-9,-1,1,165,43,5,-1,-0.159432,-1,0,-1,different
12,2,4,7,0.790296,3,0.056597,1,5,131,0,78,12,2,0,0,0,forum,0,0,1,0,0,5,8,0.896675,6,0.056572,1,5,151,0,60,13,2,0,0,0,others,2,0.172486,1,0,1,-1,-1,-0.106379,-3,0.000025,0,-20,18,-1,0,0,0,0,-2,-0.172486,0,0,-1,different
10,2,4,10,1,18,0.283558,1,5,259,0,29,6,2,0,0,0,image,6,0.730074,1,0,1,3,10,1,4,0.083094,1,5,112,0,85,20,2,0,0,0,forum,0,0,1,0,0,1,0,0,14,0.200464,0,147,-56,-14,0,0,0,0,6,0.730074,0,0,1,different
9,2,5,8,0.865079,3,0.045874,1,5,129,0,16,4,2,247,58,5,encyclopedia,1,0.158655,1,0,1,4,8,0.929268,0,0,1,5,133,0,16,4,2,0,0,0,others,0,0,1,0,0,1,0,-0.064189,3,0.045874,0,-4,0,0,0,247,58,5,1,0.158655,0,0,1,different
21,3,5,9,0.940434,7,0.106543,1,5,109,0,48,13,4,222,41,9,image_text,1,0.154753,1,0,1,2,7,0.793974,2,0.031537,1,10,282,0,59,11,3,0,0,0,video,2,0.137832,1,0,1,3,2,0.146461,5,0.075006,-5,-173,-11,2,1,222,41,9,-1,0.016921,0,0,0,different
21,4,2,4,0.468,2,0.033736,1,5,109,0,56,10,1,228,42,3,image_text,1,0.154753,1,0,1,3,3,0.453321,4,0.106963,1,5,345,0,80,21,7,824,157,27,others,4,0.345381,1,0,1,-1,1,0.014679,-2,-0.073227,0,-236,-24,-11,-6,-596,-115,-24,-3,-0.190628,0,0,0,different
18,3,4,8,0.872564,14,0.208064,1,5,192,0,90,17,6,230,51,3,others,4,0.468673,1,0,1,4,9,0.926952,1,0.015272,1,5,90,0,25,5,2,0,0,0,experience,0,0,1,0,0,0,-1,-0.054388,13,0.192792,0,102,65,12,4,230,51,3,4,0.468673,0,0,1,different
