baidu_reciprocal_of_the_rank_of_the_first_identical_url,baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls,baidu_fraction_of_identical_urls_first_screen,baidu_had_identical_url_first_screen,sogou_reciprocal_of_the_rank_of_the_first_identical_url,sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls,sogou_fraction_of_identical_urls_first_screen,sogou_had_identical_url_first_screen,delta_reciprocal_of_the_rank_of_the_first_identical_url,delta_average_of_reciprocal_of_the_rank_of_the_identical_urls,delta_fraction_of_identical_urls_first_screen,delta_had_identical_url_first_screen,char_length,word_length,baidu_reciprocal_of_the_rank_of_the_first_vertical_result,baidu_position_y_of_the_first_vertical_result,baidu_height_of_the_first_vertical_result,baidu_reciprocal_of_the_rank_of_the_first_result_with_image,baidu_position_y_of_the_first_result_with_image,baidu_height_of_the_first_result_with_image,baidu_fraction_of_vertical_results_first_screen,baidu_area_fraction_of_vertical_result_first_screen,baidu_fraction_of_results_with_images_first_screen,baidu_area_fraction_of_results_with_images_first_screen,baidu_number_of_images_first_screen,baidu_area_fraction_of_images_first_screen,baidu_number_of_vertical_types_first_screen,baidu_had_encyclopedia_first_screen,baidu_had_gps_map_first_screen,baidu_had_forum_first_screen,baidu_had_experience_first_screen,sogou_reciprocal_of_the_rank_of_the_first_vertical_result,sogou_position_y_of_the_first_vertical_result,sogou_height_of_the_first_vertical_result,sogou_reciprocal_of_the_rank_of_the_first_result_with_image,sogou_position_y_of_the_first_result_with_image,sogou_height_of_the_first_result_with_image,sogou_fraction_of_vertical_results_first_screen,sogou_area_fraction_of_vertical_result_first_screen,sogou_fraction_of_results_with_images_first_screen,sogou_area_fraction_of_results_with_images_first_screen,sogou_number_of_images_first_screen,sogou_area_fraction_of_images_first_screen,sogou_number_of_vertical_types_first_screen,sogou_had_encyclopedia_first_screen,sogou_had_gps_map_first_screen,sogou_had_forum_first_screen,sogou_had_experience_first_screen,delta_reciprocal_of_the_rank_of_the_first_vertical_result,delta_position_y_of_the_first_vertical_result,delta_height_of_the_first_vertical_result,delta_reciprocal_of_the_rank_of_the_first_result_with_image,delta_position_y_of_the_first_result_with_image,delta_height_of_the_first_result_with_image,delta_fraction_of_vertical_results_first_screen,delta_area_fraction_of_vertical_result_first_screen,delta_fraction_of_results_with_images_first_screen,delta_area_fraction_of_results_with_images_first_screen,delta_number_of_images_first_screen,delta_area_fraction_of_images_first_screen,delta_number_of_vertical_types_first_screen,delta_had_encyclopedia_first_screen,delta_had_gps_map_first_screen,delta_had_forum_first_screen,delta_had_experience_first_screen,preference
0.5,0.5,0.25,1,0.333333333333,0.333333333333,0.333333333333,1,0.166666666667,0.166666666667,-0.0833333333333,0,18,3,1.0,5.0,210.0,1.0,5.0,210.0,1.0,1.0,1.0,1.0,7.0,0.243649318463,1,0,0,0,0,1.0,5.0,207.0,1.0,5.0,207.0,1.0,1.0,1.0,1.0,9.0,0.339492522265,2,0,0,0,0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.0,-0.0958432038017,-1,0,0,0,0,tie
0.5,0.266666666667,0.4,1,1.0,0.453703703704,0.333333333333,1,-0.5,-0.187037037037,0.0666666666667,0,45,5,1.0,5.0,109.0,1.0,5.0,109.0,0.4,0.517958412098,0.2,0.206049149338,1.0,0.0318866346688,2,0,0,0,0,0.166666666667,505.0,180.0,0.142857142857,697.0,228.0,0.166666666667,0.292682926829,0.0,0.0,0.0,0.0,1,0,0,1,0,0.833333333333,-500.0,-71.0,0.857142857143,-692.0,-119.0,0.233333333333,0.225275485269,0.2,0.206049149338,1.0,0.0318866346688,1,0,0,-1,0,tie
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9,2,1.0,5.0,129.0,1.0,5.0,129.0,0.6,0.735202492212,0.4,0.38785046729,2.0,0.0637587001587,3,1,0,0,0,1.0,5.0,133.0,0,-1,0,0.75,0.842676311031,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-4.0,1.0,6.0,129.0,-0.15,-0.107473818819,0.4,0.38785046729,2.0,0.0637587001587,1,1,0,-1,0,tie
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,4,1.0,5.0,109.0,1.0,5.0,109.0,1.0,1.0,0.666666666667,0.708201892744,4.0,0.0760791809834,3,0,0,1,0,1.0,5.0,215.0,1.0,5.0,215.0,1.0,1.0,0.5,0.65844402277,2.0,0.0679247886838,3,0,0,0,1,0.0,0.0,-106.0,0.0,0.0,-106.0,0.0,0.0,0.166666666667,0.0497578699741,2.0,0.00815439229963,0,0,0,1,-1,different
0.2,0.2,0.0,0,0.5,0.5,0.166666666667,1,-0.3,-0.3,-0.166666666667,-1,30,4,0.5,104.0,268.0,0.2,584.0,109.0,0.25,0.512428298279,0.0,0.0,0.0,0.0,1,0,0,0,0,0.5,105.0,90.0,0.166666666667,507.0,184.0,0.333333333333,0.440514469453,0.166666666667,0.295819935691,1.0,0.0292429114294,2,0,0,0,0,0.0,-1.0,178.0,0.0333333333333,77.0,-75.0,-0.0833333333333,0.0719138288258,-0.166666666667,-0.295819935691,-1.0,-0.0292429114294,-1,0,0,0,0,tie
0.166666666667,0.166666666667,0.0,0,0.25,0.25,0.25,1,-0.0833333333333,-0.0833333333333,-0.25,-1,9,1,1.0,5.0,195.0,1.0,5.0,195.0,1.0,1.0,1.0,1.0,5.0,0.2587913192,3,1,0,0,0,1.0,5.0,220.0,1.0,5.0,220.0,1.0,1.0,0.25,0.347551342812,1.0,0.0551486428264,3,1,0,0,0,0.0,0.0,-25.0,0.0,0.0,-25.0,0.0,0.0,0.75,0.652448657188,4.0,0.203642676374,0,0,0,0,0,different
0.5,0.5,0.2,1,0.25,0.25,0.25,1,0.25,0.25,-0.05,0,20,4,1.0,5.0,120.0,1.0,5.0,120.0,0.8,0.843462246777,0.8,0.843462246777,4.0,0.137512237535,3,0,0,0,0,1.0,5.0,198.0,0,-1,0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-78.0,1.0,6.0,120.0,-0.2,-0.156537753223,0.8,0.843462246777,4.0,0.137512237535,1,0,0,-1,0,tie
0.5,0.5,0.25,1,0.333333333333,0.333333333333,0.25,1,0.166666666667,0.166666666667,0.0,0,24,4,1.0,5.0,210.0,1.0,5.0,210.0,1.0,1.0,1.0,1.0,7.0,0.251343507468,1,0,0,0,0,1.0,5.0,206.0,1.0,5.0,206.0,1.0,1.0,0.25,0.396153846154,4.0,0.156979020979,1,0,0,0,0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.75,0.603846153846,3.0,0.0943644864885,0,0,0,0,0,tie
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,4,1.0,5.0,145.0,0.5,164.0,110.0,0.6,0.68105065666,0.2,0.206378986867,1.0,0.0316473353467,2,0,0,0,0,1.0,5.0,178.0,0,-1,0,0.6,0.685920577617,0.0,0.0,0.0,0.0,3,0,0,1,0,0.0,0.0,-33.0,0.5,165.0,110.0,0.0,-0.00486992095692,0.2,0.206378986867,1.0,0.0316473353467,-1,0,0,-1,0,tie
0.5,0.280952380952,0.4,1,0.5,0.361111111111,0.666666666667,1,0.0,-0.0801587301587,-0.266666666667,0,33,6,1.0,5.0,171.0,0.333333333333,309.0,110.0,0.6,0.694244604317,0.2,0.197841726619,1.0,0.0303381829852,3,0,0,1,0,1.0,10.0,122.0,0.142857142857,935.0,228.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,-5.0,49.0,0.190476190476,-626.0,-118.0,-0.4,-0.305755395683,0.2,0.197841726619,1.0,0.0303381829852,1,0,0,0,0,tie
0.166666666667,0.166666666667,0.0,0,0.5,0.5,0.25,1,-0.333333333333,-0.333333333333,-0.25,-1,19,4,1.0,5.0,184.0,1.0,5.0,184.0,1.0,1.0,0.5,0.560229445507,2.0,0.0645048938424,2,0,0,1,0,1.0,5.0,90.0,0,-1,0,0.75,0.831067961165,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,94.0,1.0,6.0,184.0,0.25,0.168932038835,0.5,0.560229445507,2.0,0.0645048938424,0,0,0,0,0,tie
0.125,0.125,0.0,0,0.1,0.1,0.0,0,0.025,0.025,0.0,0,30,5,1.0,5.0,120.0,1.0,5.0,120.0,1.0,1.0,0.5,0.188087774295,1.0,0.0320792206127,2,0,0,0,0,1.0,5.0,90.0,0.333333333333,277.0,118.0,1.0,1.0,0.25,0.207746478873,1.0,0.0320230473752,3,0,0,1,1,0.0,0.0,30.0,0.666666666667,-272.0,2.0,0.0,0.0,0.25,-0.0196587045786,0.0,5.61732375819e-05,-1,0,0,-1,-1,different
0.5,0.288888888889,0.4,1,0.5,0.361111111111,0.5,1,0.0,-0.0722222222222,-0.1,0,9,1,1.0,5.0,129.0,0.333333333333,247.0,109.0,0.6,0.671179883946,0.4,0.42166344294,2.0,0.0652534999605,2,1,0,0,0,1.0,5.0,135.0,0.1,1028.0,184.0,0.5,0.546875,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-6.0,0.233333333333,-781.0,-75.0,0.1,0.124304883946,0.4,0.42166344294,2.0,0.0652534999605,0,1,0,0,0,different
