baidu_reciprocal_of_the_rank_of_the_first_identical_url,baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls,baidu_fraction_of_identical_urls_first_screen,baidu_had_identical_url_first_screen,sogou_reciprocal_of_the_rank_of_the_first_identical_url,sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls,sogou_fraction_of_identical_urls_first_screen,sogou_had_identical_url_first_screen,delta_reciprocal_of_the_rank_of_the_first_identical_url,delta_average_of_reciprocal_of_the_rank_of_the_identical_urls,delta_fraction_of_identical_urls_first_screen,delta_had_identical_url_first_screen,char_length,word_length,baidu_reciprocal_of_the_rank_of_the_first_vertical_result,baidu_position_y_of_the_first_vertical_result,baidu_height_of_the_first_vertical_result,baidu_reciprocal_of_the_rank_of_the_first_result_with_image,baidu_position_y_of_the_first_result_with_image,baidu_height_of_the_first_result_with_image,baidu_fraction_of_vertical_results_first_screen,baidu_area_fraction_of_vertical_result_first_screen,baidu_fraction_of_results_with_images_first_screen,baidu_area_fraction_of_results_with_images_first_screen,baidu_number_of_images_first_screen,baidu_area_fraction_of_images_first_screen,baidu_number_of_vertical_types_first_screen,baidu_had_encyclopedia_first_screen,baidu_had_gps_map_first_screen,baidu_had_forum_first_screen,baidu_had_experience_first_screen,sogou_reciprocal_of_the_rank_of_the_first_vertical_result,sogou_position_y_of_the_first_vertical_result,sogou_height_of_the_first_vertical_result,sogou_reciprocal_of_the_rank_of_the_first_result_with_image,sogou_position_y_of_the_first_result_with_image,sogou_height_of_the_first_result_with_image,sogou_fraction_of_vertical_results_first_screen,sogou_area_fraction_of_vertical_result_first_screen,sogou_fraction_of_results_with_images_first_screen,sogou_area_fraction_of_results_with_images_first_screen,sogou_number_of_images_first_screen,sogou_area_fraction_of_images_first_screen,sogou_number_of_vertical_types_first_screen,sogou_had_encyclopedia_first_screen,sogou_had_gps_map_first_screen,sogou_had_forum_first_screen,sogou_had_experience_first_screen,delta_reciprocal_of_the_rank_of_the_first_vertical_result,delta_position_y_of_the_first_vertical_result,delta_height_of_the_first_vertical_result,delta_reciprocal_of_the_rank_of_the_first_result_with_image,delta_position_y_of_the_first_result_with_image,delta_height_of_the_first_result_with_image,delta_fraction_of_vertical_results_first_screen,delta_area_fraction_of_vertical_result_first_screen,delta_fraction_of_results_with_images_first_screen,delta_area_fraction_of_results_with_images_first_screen,delta_number_of_images_first_screen,delta_area_fraction_of_images_first_screen,delta_number_of_vertical_types_first_screen,delta_had_encyclopedia_first_screen,delta_had_gps_map_first_screen,delta_had_forum_first_screen,delta_had_experience_first_screen,preference
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,31,6,1.0,5.0,109.0,1.0,5.0,109.0,1.0,1.0,0.8,0.785223367698,4.0,0.115931475875,2,0,0,0,0,1.0,5.0,90.0,0.166666666667,655.0,228.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0,0,1,1,0.0,0.0,19.0,0.833333333333,-650.0,-119.0,0.0,0.0,0.8,0.785223367698,4.0,0.115931475875,-1,0,0,-1,-1,sogou
0.25,0.25,0.2,1,0.142857142857,0.142857142857,0.0,0,0.107142857143,0.107142857143,0.2,1,12,1,1.0,5.0,129.0,1.0,5.0,129.0,0.6,0.68105065666,0.2,0.242026266417,1.0,0.0383987668873,3,1,0,1,0,0.25,285.0,173.0,0.25,285.0,173.0,0.2,0.345309381238,0.2,0.345309381238,1.0,0.060656868082,1,0,0,0,0,0.75,-280.0,-44.0,0.75,-280.0,-44.0,0.4,0.335741275423,0.0,-0.103283114821,0.0,-0.0222581011947,2,1,0,1,0,baidu
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,3,1.0,5.0,251.0,0.5,270.0,109.0,1.0,1.0,0.666666666667,0.498,3.0,0.116955390335,3,0,0,1,0,1.0,5.0,162.0,0.125,903.0,228.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0.0,0.0,89.0,0.375,-633.0,-119.0,0.0,0.0,0.666666666667,0.498,3.0,0.116955390335,1,0,0,0,-1,baidu
1.0,1.0,0.25,1,0.5,0.5,0.25,1,0.5,0.5,0.0,0,22,4,1.0,5.0,129.0,1.0,5.0,129.0,1.0,1.0,1.0,1.0,4.0,0.156867951642,2,0,0,0,0,0.333333333333,205.0,244.0,0,-1,0,0.5,0.657480314961,0.0,0.0,0.0,0.0,2,0,0,0,0,0.666666666667,-200.0,-115.0,1.0,6.0,129.0,0.5,0.342519685039,1.0,1.0,4.0,0.156867951642,0,0,0,0,0,baidu
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,35,9,1.0,5.0,125.0,0.5,144.0,111.0,0.8,0.851138353765,0.2,0.194395796848,1.0,0.0295412079506,2,0,0,1,0,1.0,5.0,90.0,0,-1,0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,35.0,0.5,145.0,111.0,-0.2,-0.148861646235,0.2,0.194395796848,1.0,0.0295412079506,0,0,0,0,0,sogou
0.333333333333,0.25,0.25,1,0.25,0.196428571429,0.0,0,0.0833333333333,0.0535714285714,0.25,1,9,1,1.0,5.0,111.0,1.0,5.0,111.0,1.0,1.0,1.0,1.0,4.0,0.141062390827,3,1,0,0,0,1.0,13.0,180.0,1.0,13.0,180.0,1.0,1.0,1.0,1.0,15.0,0.471087194019,2,1,0,0,0,0.0,-8.0,-69.0,0.0,-8.0,-69.0,0.0,0.0,0.0,0.0,-11.0,-0.330024803192,1,0,0,0,0,sogou
0.166666666667,0.166666666667,0.0,0,0.5,0.5,0.25,1,-0.333333333333,-0.333333333333,-0.25,-1,30,5,1.0,5.0,543.0,1.0,5.0,543.0,1.0,1.0,1.0,1.0,8.0,0.533481210677,1,0,0,1,0,1.0,5.0,166.0,0,-1,0,0.75,0.82135523614,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,377.0,1.0,6.0,543.0,0.25,0.17864476386,1.0,1.0,8.0,0.533481210677,-1,0,0,1,0,baidu
0.5,0.305555555556,0.5,1,0.333333333333,0.261111111111,0.0,0,0.166666666667,0.0444444444444,0.5,1,12,2,0.5,104.0,109.0,0.5,104.0,109.0,0.75,0.839924670433,0.75,0.839924670433,7.0,0.297691806859,3,0,0,0,0,1.0,5.0,328.0,1.0,5.0,328.0,1.0,1.0,0.5,0.485207100592,7.0,0.329518558365,2,0,0,0,0,-0.5,99.0,-219.0,-0.5,99.0,-219.0,-0.25,-0.160075329567,0.25,0.354717569841,0.0,-0.0318267515052,1,0,0,0,0,sogou
0.5,0.5,0.333333333333,1,0.2,0.2,0.0,0,0.3,0.3,0.333333333333,1,12,1,1.0,5.0,109.0,1.0,5.0,109.0,1.0,1.0,1.0,1.0,3.0,0.115996861779,3,1,0,1,0,0.333333333333,205.0,385.0,0.333333333333,205.0,385.0,0.333333333333,0.688729874776,0.333333333333,0.688729874776,1.0,0.0998666449829,1,0,0,0,0,0.666666666667,-200.0,-276.0,0.666666666667,-200.0,-276.0,0.666666666667,0.311270125224,0.666666666667,0.311270125224,2.0,0.016130216796,2,1,0,1,0,baidu
0.333333333333,0.216666666667,0.2,1,1.0,0.583333333333,0.333333333333,1,-0.666666666667,-0.366666666667,-0.133333333333,0,12,2,1.0,5.0,89.0,0.5,108.0,109.0,0.8,0.867807153966,0.4,0.561430793157,2.0,0.171480687067,4,0,1,0,0,0.5,105.0,373.0,0.5,105.0,373.0,0.333333333333,0.681901279707,0.333333333333,0.681901279707,4.0,0.217836130962,1,0,0,0,0,0.5,-100.0,-284.0,0.0,3.0,-264.0,0.466666666667,0.185905874258,0.0666666666667,-0.12047048655,-2.0,-0.0463554438948,3,0,1,0,0,sogou
