char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,baidu_rank_by_type_1,baidu_position_y_1,baidu_height_1,baidu_distance_by_type_1,baidu_title_char_length_1,baidu_title_word_length_1,baidu_title_matches_1,baidu_snippet_char_length_1,baidu_snippet_word_length_1,baidu_snippet_matches_1,baidu_vertical_type_1,baidu_images_number_1,baidu_images_area_fraction_1,baidu_is_vertical_1,baidu_is_identical_url_1,baidu_had_image_1,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,sogou_rank_by_type_1,sogou_position_y_1,sogou_height_1,sogou_distance_by_type_1,sogou_title_char_length_1,sogou_title_word_length_1,sogou_title_matches_1,sogou_snippet_char_length_1,sogou_snippet_word_length_1,sogou_snippet_matches_1,sogou_vertical_type_1,sogou_images_number_1,sogou_images_area_fraction_1,sogou_is_vertical_1,sogou_is_identical_url_1,sogou_had_image_1,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,delta_position_y_1,delta_height_1,delta_title_char_length_1,delta_title_word_length_1,delta_title_matches_1,delta_snippet_char_length_1,delta_snippet_word_length_1,delta_snippet_matches_1,delta_images_number_1,delta_images_area_fraction_1,delta_is_vertical_1,delta_is_identical_url_1,delta_had_image_1,preference
12,2,5,8,0.883000688231,5,0.0661699803253,1,5.0,169.0,0,19,4,2,504,104,2,encyclopedia,1,0.186313543477,1,0,1,4,8,0.860353130016,2,0.0291959725668,1,5.0,118.0,0,92,20,5,0,0,0,image_text,1,0.154707410615,1,0,1,1,0,0.0226475582152,3,0.0369740077585,0.0,51.0,-73,-16,-3,504,104,2,0,0.031606132862,0,0,0,sogou
24,4,3,7,0.741784037559,6,0.0950311534635,1,5.0,129.0,0,89,18,2,206,59,9,image_text,1,0.130759920463,1,0,1,2,5,0.5203969129,0,0.0,1,5.0,90.0,0,79,16,3,0,0,0,image_text,0,0.0,1,0,0,1,2,0.221387124659,6,0.0950311534635,0.0,39.0,10,2,-1,206,59,9,1,0.130759920463,0,0,1,sogou
27,5,2,5,0.581460674157,3,0.0473821060106,1,5.0,85.0,0,38,8,3,182,43,6,organic,0,0.0,0,0,0,5,8,0.843243243243,0,0.0,1,5.0,98.0,0,49,9,4,0,0,0,download,0,0.0,1,0,0,-3,-3,-0.261782569086,3,0.0473821060106,0.0,-13.0,-11,-1,-1,182,43,6,0,0.0,-1,0,0,sogou
8,2,4,9,0.927101200686,10,0.164147436347,1,5.0,210.0,0,42,9,4,0,0,0,video,4,0.389838909542,1,0,1,5,10,1.0,14,0.191219860689,1,5.0,410.0,0,84,18,0,192,42,1,others,4,0.376266075388,1,0,1,-1,-1,-0.0728987993139,-4,-0.0270724243424,0.0,-200.0,-42,-9,4,-192,-42,-1,0,0.0135728341535,0,0,0,sogou
11,2,3,9,0.92389380531,9,0.154449452249,1,5.0,210.0,0,45,9,4,0,0,0,video,4,0.389838909542,1,0,1,4,10,1.0,5,0.0904150197628,1,5.0,92.0,0,66,17,2,0,0,0,video,0,0.0,1,0,0,-1,-1,-0.0761061946903,4,0.0640344324857,0.0,118.0,-21,-8,2,0,0,0,4,0.389838909542,0,0,1,baidu
27,5,2,4,0.42889137738,0,0.0,1,5.0,85.0,0,34,7,4,223,48,9,reading,0,0.0,1,0,0,4,6,0.680147058824,0,0.0,1,5.0,178.0,0,55,11,4,0,0,0,reading,0,0.0,1,0,0,-2,-2,-0.251255681444,0,0.0,0.0,-93.0,-21,-4,0,223,48,9,0,0.0,0,0,0,baidu
22,4,4,10,1.0,12,0.132275593853,1,5.0,114.0,0,78,18,4,190,52,5,download,0,0.0,1,0,0,3,10,1.0,2,0.0341863274016,1,5.0,118.0,0,54,11,5,0,0,0,image_text,1,0.154707410615,1,0,1,1,0,0.0,10,0.0980892664512,0.0,-4.0,24,7,-1,190,52,5,-1,-0.154707410615,0,0,-1,sogou
21,5,2,6,0.663366336634,5,0.0835050977217,1,5.0,85.0,0,86,24,4,211,57,5,organic,0,0.0,0,0,0,2,7,0.730123180291,0,0.0,1,5.0,87.0,0,42,8,2,224,49,7,organic,0,0.0,0,0,0,0,-1,-0.0667568436575,5,0.0835050977217,0.0,-2.0,44,16,2,-13,8,-2,0,0.0,0,0,0,sogou
24,5,3,6,0.675572519084,4,0.0656694287579,1,5.0,105.0,0,50,13,4,211,47,7,forum,0,0.0,1,0,0,4,7,0.77519379845,1,0.0156667449691,1,5.0,178.0,0,31,7,5,0,0,0,reading,0,0.0,1,0,0,-1,-1,-0.0996212793656,3,0.0500026837888,0.0,-73.0,19,6,-1,211,47,7,0,0.0,0,0,0,sogou
21,4,3,5,0.616079494128,2,0.0337259010756,1,5.0,134.0,0,52,10,4,233,59,1,others,1,0.152735393664,1,1,1,3,6,0.768463073852,7,0.081623419827,1,5.0,144.0,0,52,10,4,0,0,0,reading,0,0.0,1,1,0,0,-1,-0.152383579724,-5,-0.0478975187514,0.0,-10.0,0,0,0,233,59,1,1,0.152735393664,0,0,1,sogou
