@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
30,4,3,5,0.610555,0,0,1,3,0.398815,0,0,2,2,0.21174,0,0,different
12,2,5,8,0.883001,5,0.06617,4,8,0.860353,2,0.029196,1,0,0.022648,3,0.036974,different
24,4,3,7,0.741784,6,0.095031,2,5,0.520397,0,0,1,2,0.221387,6,0.095031,tie
27,5,2,5,0.581461,3,0.047382,5,8,0.843243,0,0,-3,-3,-0.261783,3,0.047382,tie
18,3,2,9,0.921369,9,0.143766,3,6,0.656466,1,0.015192,-1,3,0.264903,8,0.128574,tie
8,2,4,9,0.927101,10,0.164147,5,10,1,14,0.19122,-1,-1,-0.072899,-4,-0.027072,different
18,3,2,3,0.335759,2,0.035069,3,7,0.750239,0,0,-1,-4,-0.41448,2,0.035069,tie
11,2,3,9,0.923894,9,0.154449,4,10,1,5,0.090415,-1,-1,-0.076106,4,0.064034,different
21,4,2,5,0.554781,3,0.050402,3,5,0.53276,0,0,-1,0,0.02202,3,0.050402,tie
27,5,2,4,0.428891,0,0,4,6,0.680147,0,0,-2,-2,-0.251256,0,0,different
22,4,4,10,1,12,0.132276,3,10,1,2,0.034186,1,0,0,10,0.098089,tie
21,5,2,6,0.663366,5,0.083505,2,7,0.730123,0,0,0,-1,-0.066757,5,0.083505,tie
24,5,3,6,0.675573,4,0.065669,4,7,0.775194,1,0.015667,-1,-1,-0.099621,3,0.050003,tie
21,4,3,5,0.616079,2,0.033726,3,6,0.768463,7,0.081623,0,-1,-0.152384,-5,-0.047898,different
27,5,3,3,0.392237,2,0.045027,5,8,0.853535,5,0.085889,-2,-5,-0.461298,-3,-0.040862,different
12,2,4,7,0.790296,3,0.056597,5,8,0.896675,6,0.056572,-1,-1,-0.106379,-3,0.000025,tie
9,2,5,8,0.865079,3,0.045874,4,8,0.929268,0,0,1,0,-0.064189,3,0.045874,tie
21,3,5,9,0.940434,7,0.106543,2,7,0.793974,2,0.031537,3,2,0.146461,5,0.075006,tie
21,4,2,4,0.468,2,0.033736,3,3,0.453321,4,0.106963,-1,1,0.014679,-2,-0.073227,tie
18,3,4,8,0.872564,14,0.208064,4,9,0.926952,1,0.015272,0,-1,-0.054388,13,0.192792,tie
21,4,6,10,1,13,0.226401,6,8,0.865741,5,0.096459,0,2,0.134259,8,0.129942,different
15,3,4,10,1,9,0.14214,5,9,0.939541,5,0.069366,-1,1,0.060459,4,0.072773,different
