char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,preference
30,4,3,5,0.610555050045,0,0.0,1,3,0.398815399803,0,0.0,2,2,0.211739650243,0,0.0,different
12,2,5,8,0.883000688231,5,0.0661699803253,4,8,0.860353130016,2,0.0291959725668,1,0,0.0226475582152,3,0.0369740077585,different
24,4,3,7,0.741784037559,6,0.0950311534635,2,5,0.5203969129,0,0.0,1,2,0.221387124659,6,0.0950311534635,tie
27,5,2,5,0.581460674157,3,0.0473821060106,5,8,0.843243243243,0,0.0,-3,-3,-0.261782569086,3,0.0473821060106,tie
18,3,2,9,0.921369102683,9,0.143765754551,3,6,0.656465942744,1,0.0151916001077,-1,3,0.264903159938,8,0.128574154443,tie
8,2,4,9,0.927101200686,10,0.164147436347,5,10,1.0,14,0.191219860689,-1,-1,-0.0728987993139,-4,-0.0270724243424,different
18,3,2,3,0.335758835759,2,0.0350686688977,3,7,0.75023923445,0,0.0,-1,-4,-0.414480398691,2,0.0350686688977,tie
11,2,3,9,0.92389380531,9,0.154449452249,4,10,1.0,5,0.0904150197628,-1,-1,-0.0761061946903,4,0.0640344324857,different
21,4,2,5,0.554780876494,3,0.0504024793021,3,5,0.53276047261,0,0.0,-1,0,0.0220204038839,3,0.0504024793021,tie
27,5,2,4,0.42889137738,0,0.0,4,6,0.680147058824,0,0.0,-2,-2,-0.251255681444,0,0.0,different
22,4,4,10,1.0,12,0.132275593853,3,10,1.0,2,0.0341863274016,1,0,0.0,10,0.0980892664512,tie
21,5,2,6,0.663366336634,5,0.0835050977217,2,7,0.730123180291,0,0.0,0,-1,-0.0667568436575,5,0.0835050977217,tie
24,5,3,6,0.675572519084,4,0.0656694287579,4,7,0.77519379845,1,0.0156667449691,-1,-1,-0.0996212793656,3,0.0500026837888,tie
21,4,3,5,0.616079494128,2,0.0337259010756,3,6,0.768463073852,7,0.081623419827,0,-1,-0.152383579724,-5,-0.0478975187514,different
27,5,3,3,0.392236976507,2,0.045027358924,5,8,0.853535353535,5,0.0858891949801,-2,-5,-0.461298377029,-3,-0.0408618360561,different
12,2,4,7,0.790296052632,3,0.0565966787321,5,8,0.896674584323,6,0.0565720146837,-1,-1,-0.106378531691,-3,2.46640484927e-05,tie
9,2,5,8,0.865079365079,3,0.0458739009854,4,8,0.929268292683,0,0.0,1,0,-0.0641889276036,3,0.0458739009854,tie
21,3,5,9,0.940434477926,7,0.106543219847,2,7,0.793973941368,2,0.0315368670418,3,2,0.146460536558,5,0.0750063528049,tie
21,4,2,4,0.468,2,0.0337360594796,3,3,0.453321364452,4,0.106962624449,-1,1,0.0146786355476,-2,-0.0732265649696,tie
