query	baidu_max_title_char_length_first_screen	baidu_max_title_word_length_first_screen	baidu_max_title_matches_fraction_with_query_first_screen	baidu_avg_title_char_length_first_screen	baidu_avg_title_word_length_first_screen	baidu_avg_title_matches_fraction_with_query_first_screen	baidu_max_snippet_char_length_first_screen	baidu_max_snippet_word_length_first_screen	baidu_max_snippet_matches_fraction_with_query_first_screen	baidu_avg_snippet_char_length_first_screen	baidu_avg_snippet_word_length_first_screen	baidu_avg_snippet_matches_fraction_with_query_first_screen	baidu_max_title_char_length_other_screens	baidu_max_title_word_length_other_screens	baidu_max_title_matches_fraction_with_query_other_screens	baidu_avg_title_char_length_other_screens	baidu_avg_title_word_length_other_screens	baidu_avg_title_matches_fraction_with_query_other_screens	baidu_max_snippet_char_length_other_screens	baidu_max_snippet_word_length_other_screens	baidu_max_snippet_matches_fraction_with_query_other_screens	baidu_avg_snippet_char_length_other_screens	baidu_avg_snippet_word_length_other_screens	baidu_avg_snippet_matches_fraction_with_query_other_screens	sogou_max_title_char_length_first_screen	sogou_max_title_word_length_first_screen	sogou_max_title_matches_fraction_with_query_first_screen	sogou_avg_title_char_length_first_screen	sogou_avg_title_word_length_first_screen	sogou_avg_title_matches_fraction_with_query_first_screen	sogou_max_snippet_char_length_first_screen	sogou_max_snippet_word_length_first_screen	sogou_max_snippet_matches_fraction_with_query_first_screen	sogou_avg_snippet_char_length_first_screen	sogou_avg_snippet_word_length_first_screen	sogou_avg_snippet_matches_fraction_with_query_first_screen	sogou_max_title_char_length_other_screens	sogou_max_title_word_length_other_screens	sogou_max_title_matches_fraction_with_query_other_screens	sogou_avg_title_char_length_other_screens	sogou_avg_title_word_length_other_screens	sogou_avg_title_matches_fraction_with_query_other_screens	sogou_max_snippet_char_length_other_screens	sogou_max_snippet_word_length_other_screens	sogou_max_snippet_matches_fraction_with_query_other_screens	sogou_avg_snippet_char_length_other_screens	sogou_avg_snippet_word_length_other_screens	sogou_avg_snippet_matches_fraction_with_query_other_screens	delta_max_title_char_length_first_screen	delta_max_title_word_length_first_screen	delta_max_title_matches_fraction_with_query_first_screen	delta_avg_title_char_length_first_screen	delta_avg_title_word_length_first_screen	delta_avg_title_matches_fraction_with_query_first_screen	delta_max_snippet_char_length_first_screen	delta_max_snippet_word_length_first_screen	delta_max_snippet_matches_fraction_with_query_first_screen	delta_avg_snippet_char_length_first_screen	delta_avg_snippet_word_length_first_screen	delta_avg_snippet_matches_fraction_with_query_first_screen	delta_max_title_char_length_other_screens	delta_max_title_word_length_other_screens	delta_max_title_matches_fraction_with_query_other_screens	delta_avg_title_char_length_other_screens	delta_avg_title_word_length_other_screens	delta_avg_title_matches_fraction_with_query_other_screens	delta_max_snippet_char_length_other_screens	delta_max_snippet_word_length_other_screens	delta_max_snippet_matches_fraction_with_query_other_screens	delta_avg_snippet_char_length_other_screens	delta_avg_snippet_word_length_other_screens	delta_avg_snippet_matches_fraction_with_query_other_screens	
河北科技大学	28	7	0.75	25.6666666667	5.33333333333	0.592857142857	381	67	0.153846153846	202.0	35.3333333333	0.0761576731726	53	10	0.6	37.7142857143	6.71428571429	0.47193877551	199	47	0.258064516129	132.571428571	27.2857142857	0.0975465056961	44	9	1.0	26.25	5.0	0.733333333333	618	100	0.04	154.5	25.0	0.01	50	10	0.75	30.5	5.66666666667	0.408928571429	267	55	0.218181818182	156.833333333	29.5	0.0602938165438	-16	-2	-0.25	-0.583333333333	0.333333333333	-0.140476190476	-237	-33	0.113846153846	47.5	10.3333333333	0.0661576731726	3	0	-0.15	7.21428571429	1.04761904762	0.0630102040816	-68	-8	0.0398826979472	-24.2619047619	-2.21428571429	0.0372526891523	
火影忍者下载+迅雷下载	82	21	0.545454545455	66.0	14.4	0.303692386045	218	43	0.241379310345	176.6	38.4	0.165102127459	91	17	0.7	72.6	13.0	0.510012340601	214	49	0.21875	178.2	38.6	0.100614664565	90	16	0.5625	67.4	13.0	0.444448051948	233	47	0.380952380952	136.8	26.2	0.138804457953	88	15	1.0	75.6	12.8	0.526666666667	0	0	0	0.0	0.0	0.0	-8	5	-0.0170454545455	-1.4	1.4	-0.140755665903	-15	-4	-0.139573070608	39.8	12.2	0.0262976695054	3	2	-0.3	-3.0	0.2	-0.0166543260661	214	49	0.21875	178.2	38.6	0.100614664565	
北京丰台建都医院	46	8	0.666666666667	36.25	6.75	0.60119047619	216	45	0.173913043478	88.0	17.0	0.0712560386473	92	19	1.0	53.3333333333	10.5	0.697594169247	230	48	0.25	147.333333333	29.6666666667	0.117546213476	46	8	1.0	22.0	3.75	0.625	286	58	0.275862068966	250.25	48.25	0.1585021883	95	17	0.705882352941	72.3333333333	14.0	0.509293538705	241	49	0.3	78.0	16.0	0.080612244898	0	0	-0.333333333333	14.25	3.0	-0.0238095238095	-70	-13	-0.101949025487	-162.25	-31.25	-0.0872461496524	-3	2	0.294117647059	-19.0	-3.5	0.188300630541	-11	-1	-0.05	69.3333333333	13.6666666667	0.0369339685785	
邱县贴吧最新消息	72	15	0.857142857143	47.6666666667	10.3333333333	0.567195767196	221	49	0.163265306122	142.666666667	30.6666666667	0.09318145863	87	22	0.666666666667	67.5714285714	16.7142857143	0.384115884116	320	79	0.354838709677	169.0	41.1428571429	0.159164777147	92	19	0.625	81.2	17.2	0.422543859649	240	47	0.30303030303	176.2	34.4	0.181697642475	63	16	0.8	49.0	11.6	0.630299145299	0	0	0	0.0	0.0	0.0	-20	-4	0.232142857143	-33.5333333333	-6.86666666667	0.144651907547	-19	2	-0.139764996908	-33.5333333333	-3.73333333333	-0.0885161838447	24	6	-0.133333333333	18.5714285714	5.11428571429	-0.246183261183	320	79	0.354838709677	169.0	41.1428571429	0.159164777147	
思量qq亮钻大师	74	20	0.5	53.4	12.6	0.390551948052	235	60	0.263157894737	182.6	42.2	0.160345864662	84	20	0.555555555556	66.4	15.6	0.443636363636	227	58	0.297872340426	214.4	50.4	0.188576763173	87	21	0.5	78.2	19.0	0.393333333333	0	0	0	0.0	0.0	0.0	87	23	0.5	65.6	16.6	0.360755896562	221	53	0.265306122449	128.2	30.8	0.11786528835	-13	-1	0.0	-24.8	-6.4	-0.00278138528139	235	60	0.263157894737	182.6	42.2	0.160345864662	-3	-3	0.0555555555556	0.8	-1.0	0.0828804670748	6	5	0.0325662179766	86.2	19.6	0.0707114748228	
nba2015全明星赛	61	13	0.25	45.1666666667	8.5	0.0696386946387	212	53	0.0975609756098	160.5	37.0	0.0225494707777	84	18	0.222222222222	58.5	12.25	0.0805555555556	223	51	0.184210526316	140.0	28.0	0.0460526315789	63	13	0.181818181818	56.25	11.0	0.0646853146853	226	43	0	56.5	10.75	0.0	84	16	0.333333333333	50.3333333333	9.33333333333	0.105429292929	604	113	0.070796460177	100.666666667	18.8333333333	0.0117994100295	-2	0	0.0681818181818	-11.0833333333	-2.5	0.00495337995338	-14	10	0.0975609756098	104.0	26.25	0.0225494707777	0	2	-0.111111111111	8.16666666667	2.91666666667	-0.0248737373737	-381	-62	0.113414066139	39.3333333333	9.16666666667	0.0342532215494	
基督教儿歌大全100首	86	18	0.533333333333	70.2	14.2	0.268585858586	208	44	0.186046511628	161.4	37.4	0.113538786795	89	17	0.428571428571	57.4	11.4	0.29090145149	245	56	0.208333333333	202.6	44.2	0.111332714904	92	19	0.571428571429	80.0	15.8333333333	0.36726825233	231	44	0.25	111.666666667	21.8333333333	0.0643939393939	89	19	0.357142857143	75.0	16.25	0.327694235589	221	51	0.181818181818	108.25	23.75	0.0503565062389	-6	-1	-0.0380952380952	-9.8	-1.63333333333	-0.0986823937443	-23	0	-0.0639534883721	49.7333333333	15.5666666667	0.0491448474007	0	-2	0.0714285714286	-17.6	-4.85	-0.0367927840993	24	5	0.0265151515152	94.35	20.45	0.0609762086653	
致我们终将逝去的青春电影完整版	75	16	0.75	63.5	13.25	0.552976190476	507	100	0.25	284.5	61.5	0.138793759513	94	20	0.75	84.6666666667	18.1666666667	0.52828759934	233	52	0.45652173913	188.833333333	40.0	0.215163379508	90	20	0.75	67.3333333333	14.6666666667	0.633333333333	0	0	0	0.0	0.0	0.0	96	20	0.65	75.1666666667	15.5	0.51858974359	0	0	0	0.0	0.0	0.0	-15	-4	0.0	-3.83333333333	-1.41666666667	-0.0803571428571	507	100	0.25	284.5	61.5	0.138793759513	-2	0	0.1	9.5	2.66666666667	0.00969785575049	233	52	0.45652173913	188.833333333	40.0	0.215163379508	
学驾照科目一模拟考试	93	20	0.529411764706	76.4	14.8	0.448263305322	232	43	0.46511627907	203.0	39.8	0.331182609001	88	19	0.473684210526	86.4	17.4	0.366564327485	228	49	0.459459459459	210.6	42.6	0.233736922587	92	19	0.466666666667	83.8	17.2	0.343187134503	0	0	0	0.0	0.0	0.0	87	17	0.529411764706	67.0	13.2	0.397899159664	230	42	0.214285714286	46.0	8.4	0.0428571428571	1	1	0.0627450980392	-7.4	-2.4	0.105076170819	232	43	0.46511627907	203.0	39.8	0.331182609001	1	2	-0.0557275541796	19.4	4.2	-0.0313348321785	-2	7	0.245173745174	164.6	34.2	0.19087977973	
最近10天电影	92	21	0.52380952381	77.0	16.8	0.329888558294	227	52	0.108695652174	170.8	37.8	0.0720367052004	89	21	0.666666666667	53.8	12.0	0.231904761905	210	58	0.214285714286	197.0	45.6	0.0979311773626	86	20	0.666666666667	56.5	13.5	0.272916666667	213	41	0.0731707317073	95.5	19.0	0.0325783972125	88	25	0.52380952381	54.0	13.6666666667	0.231127498233	729	159	0.302325581395	272.333333333	60.0	0.118460108923	6	1	-0.142857142857	20.5	3.3	0.0569718916275	14	11	0.0355249204666	75.3	18.8	0.0394583079879	1	-4	0.142857142857	-0.2	-1.66666666667	0.000777263672001	-519	-101	-0.0880398671096	-75.3333333333	-14.4	-0.0205289315603	
