query	baidu_reciprocal_of_the_rank_of_the_first_identical_url	baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls	baidu_fraction_of_identical_urls_first_screen	baidu_had_identical_url_first_screen	baidu_fraction_of_identical_urls_other_screens	baidu_had_identical_url_other_screens	sogou_reciprocal_of_the_rank_of_the_first_identical_url	sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls	sogou_fraction_of_identical_urls_first_screen	sogou_had_identical_url_first_screen	sogou_fraction_of_identical_urls_other_screens	sogou_had_identical_url_other_screens	delta_reciprocal_of_the_rank_of_the_first_identical_url	delta_average_of_reciprocal_of_the_rank_of_the_identical_urls	delta_fraction_of_identical_urls_first_screen	delta_had_identical_url_first_screen	delta_fraction_of_identical_urls_other_screens	delta_had_identical_url_other_screens	
河北科技大学	0.333333333333	0.266666666667	0.333333333333	1	0.142857142857	1	0.125	0.118055555556	0.0	0	0.333333333333	1	0.208333333333	0.148611111111	0.333333333333	1	-0.190476190476	0	
火影忍者下载+迅雷下载	1.0	1.0	0.2	1	0.0	0	0.5	0.5	0.2	1	0.0	0	0.5	0.5	0.0	0	0.0	0	
北京丰台建都医院	0.333333333333	0.177777777778	0.25	1	0.5	1	1.0	0.420833333333	0.75	1	0.166666666667	1	-0.666666666667	-0.243055555556	-0.5	0	0.333333333333	0	
邱县贴吧最新消息	0.5	0.416666666667	0.666666666667	1	0.0	0	1.0	0.55	0.2	1	0.2	1	-0.5	-0.133333333333	0.466666666667	0	-0.2	-1	
思量qq亮钻大师	1.0	0.46875	0.6	1	0.2	1	0.5	0.241964285714	0.4	1	0.4	1	0.5	0.226785714286	0.2	0	-0.2	0	
nba2015全明星赛	0.5	0.5	0.166666666667	1	0.0	0	1.0	1.0	0.25	1	0.0	0	-0.5	-0.5	-0.0833333333333	0	0.0	0	
基督教儿歌大全100首	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
致我们终将逝去的青春电影完整版	0.5	0.416666666667	0.5	1	0.0	0	0.333333333333	0.238095238095	0.333333333333	1	0.166666666667	1	0.166666666667	0.178571428571	0.166666666667	0	-0.166666666667	-1	
学驾照科目一模拟考试	0.333333333333	0.266666666667	0.4	1	0.0	0	0.25	0.208333333333	0.2	1	0.2	1	0.0833333333333	0.0583333333333	0.2	0	-0.2	-1	
最近10天电影	0.2	0.15	0.2	1	0.2	1	1.0	0.55	0.25	1	0.166666666667	1	-0.8	-0.4	-0.05	0	0.0333333333333	0	
