query	baidu_reciprocal_of_the_rank_of_the_first_vertical_result	baidu_position_y_of_the_first_vertical_result	baidu_height_of_the_first_vertical_result	baidu_reciprocal_of_the_rank_of_the_first_result_with_image	baidu_position_y_of_the_first_result_with_image	baidu_height_of_the_first_result_with_image	baidu_fraction_of_vertical_results_first_screen	baidu_area_fraction_of_vertical_result_first_screen	baidu_fraction_of_results_with_images_first_screen	baidu_area_fraction_of_results_with_images_first_screen	baidu_number_of_images_first_screen	baidu_area_fraction_of_images_first_screen	baidu_number_of_vertical_types_first_screen	baidu_had_encyclopedia_first_screen	baidu_had_gps_map_first_screen	baidu_had_forum_first_screen	baidu_had_experience_first_screen	baidu_fraction_of_vertical_results_other_screens	baidu_area_fraction_of_vertical_result_other_screens	baidu_fraction_of_results_with_images_other_screens	baidu_area_fraction_of_results_with_images_other_screens	baidu_number_of_images_other_screens	baidu_area_fraction_of_images_other_screens	baidu_number_of_vertical_types_other_screens	baidu_had_encyclopedia_other_screens	baidu_had_gps_map_other_screens	baidu_had_forum_other_screens	baidu_had_experience_other_screens	sogou_reciprocal_of_the_rank_of_the_first_vertical_result	sogou_position_y_of_the_first_vertical_result	sogou_height_of_the_first_vertical_result	sogou_reciprocal_of_the_rank_of_the_first_result_with_image	sogou_position_y_of_the_first_result_with_image	sogou_height_of_the_first_result_with_image	sogou_fraction_of_vertical_results_first_screen	sogou_area_fraction_of_vertical_result_first_screen	sogou_fraction_of_results_with_images_first_screen	sogou_area_fraction_of_results_with_images_first_screen	sogou_number_of_images_first_screen	sogou_area_fraction_of_images_first_screen	sogou_number_of_vertical_types_first_screen	sogou_had_encyclopedia_first_screen	sogou_had_gps_map_first_screen	sogou_had_forum_first_screen	sogou_had_experience_first_screen	sogou_fraction_of_vertical_results_other_screens	sogou_area_fraction_of_vertical_result_other_screens	sogou_fraction_of_results_with_images_other_screens	sogou_area_fraction_of_results_with_images_other_screens	sogou_number_of_images_other_screens	sogou_area_fraction_of_images_other_screens	sogou_number_of_vertical_types_other_screens	sogou_had_encyclopedia_other_screens	sogou_had_gps_map_other_screens	sogou_had_forum_other_screens	sogou_had_experience_other_screens	delta_reciprocal_of_the_rank_of_the_first_vertical_result	delta_position_y_of_the_first_vertical_result	delta_height_of_the_first_vertical_result	delta_reciprocal_of_the_rank_of_the_first_result_with_image	delta_position_y_of_the_first_result_with_image	delta_height_of_the_first_result_with_image	delta_fraction_of_vertical_results_first_screen	delta_area_fraction_of_vertical_result_first_screen	delta_fraction_of_results_with_images_first_screen	delta_area_fraction_of_results_with_images_first_screen	delta_number_of_images_first_screen	delta_area_fraction_of_images_first_screen	delta_number_of_vertical_types_first_screen	delta_had_encyclopedia_first_screen	delta_had_gps_map_first_screen	delta_had_forum_first_screen	delta_had_experience_first_screen	delta_fraction_of_vertical_results_other_screens	delta_area_fraction_of_vertical_result_other_screens	delta_fraction_of_results_with_images_other_screens	delta_area_fraction_of_results_with_images_other_screens	delta_number_of_images_other_screens	delta_area_fraction_of_images_other_screens	delta_number_of_vertical_types_other_screens	delta_had_encyclopedia_other_screens	delta_had_gps_map_other_screens	delta_had_forum_other_screens	delta_had_experience_other_screens	
河北科技大学	1.0	5.0	85.0	0.5	104.0	150.0	1.0	1.0	0.666666666667	0.816810344828	2.0	0.0811835021151	3	1	0	1	0	0.857142857143	0.932054356515	0.571428571429	0.716227018385	4.0	0.108516903949	5	0	1	1	0	1.0	13.0	164.0	0.25	479.0	175.0	1.0	1.0	0.25	0.278219395866	1.0	0.0111163940191	2	1	0	0	0	0.666666666667	0.818938605619	0.166666666667	0.339229968783	1.0	0.0955650429038	3	0	1	1	0	0.0	-8.0	-79.0	0.25	-375.0	-25.0	0.0	0.0	0.416666666667	0.538590948961	1.0	0.070067108096	1	0	0	1	0	0.190476190476	0.113115750896	0.404761904762	0.376997049603	3.0	0.0129518610452	2	0	0	0	0	
火影忍者下载+迅雷下载	0.5	104.0	114.0	0.333333333333	232.0	109.0	0.6	0.658634538153	0.2	0.218875502008	1.0	0.0338715456622	3	0	0	1	0	0.8	0.835271317829	0.8	0.835271317829	4.0	0.130759920463	1	0	0	0	0	0.333333333333	205.0	90.0	0	-1	0	0.4	0.508474576271	0.0	0.0	0.0	0.0	2	0	0	1	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	1	0	0.166666666667	-101.0	24.0	0.333333333333	233.0	109.0	0.2	0.150159961881	0.2	0.218875502008	1.0	0.0338715456622	1	0	0	0	0	-0.2	-0.164728682171	0.8	0.835271317829	4.0	0.130759920463	-1	0	0	-1	0	
北京丰台建都医院	1.0	5.0	89.0	0.5	108.0	109.0	0.75	0.858569051581	0.5	0.710482529118	2.0	0.259561202209	3	1	1	0	0	0.666666666667	0.671814671815	0.333333333333	0.420849420849	2.0	0.0651275279528	2	0	0	0	0	0.5	125.0	175.0	0.5	125.0	175.0	0.25	0.352822580645	0.25	0.352822580645	1.0	0.0164552785924	1	0	0	0	0	0.666666666667	0.778925619835	0.333333333333	0.479338842975	2.0	0.129534184823	3	0	1	1	0	0.5	-120.0	-86.0	0.0	-17.0	-66.0	0.5	0.505746470936	0.25	0.357659948473	1.0	0.243105923617	2	1	1	0	0	0.0	-0.10711094802	0.0	-0.0584894221258	0.0	-0.0644066568706	-1	0	-1	-1	0	
邱县贴吧最新消息	1.0	5.0	229.0	1.0	5.0	229.0	1.0	1.0	0.666666666667	0.699792960663	2.0	0.0565702278972	2	0	0	1	0	1.0	1.0	0.714285714286	0.716363636364	5.0	0.106592317224	4	0	0	1	0	0.333333333333	205.0	178.0	0.166666666667	595.0	235.0	0.2	0.338403041825	0.0	0.0	0.0	0.0	1	0	0	1	0	1.0	1.0	0.2	0.380875202593	1.0	0.0438603212023	2	0	0	1	0	0.666666666667	-200.0	51.0	0.833333333333	-590.0	-6.0	0.8	0.661596958175	0.666666666667	0.699792960663	2.0	0.0565702278972	1	0	0	0	0	0.0	0.0	0.514285714286	0.33548843377	4.0	0.062731996022	2	0	0	0	0	
思量qq亮钻大师	1.0	5.0	109.0	1.0	5.0	109.0	1.0	1.0	0.8	0.811490125673	4.0	0.127595389534	3	0	0	1	0	0.8	0.841417910448	0.2	0.203358208955	1.0	0.0314702047384	2	0	0	0	0	1.0	5.0	118.0	0.5	135.0	128.0	1.0	1.0	0.2	0.235294117647	1.0	0.037513368984	2	0	0	0	0	0.4	0.408163265306	0.0	0.0	0.0	0.0	1	0	0	0	0	0.0	0.0	-9.0	0.5	-130.0	-19.0	0.0	0.0	0.6	0.576196008026	3.0	0.0900820205497	1	0	0	1	0	0.4	0.433254645142	0.2	0.203358208955	1.0	0.0314702047384	1	0	0	0	0	
nba2015全明星赛	0.333333333333	204.0	109.0	0.2	427.0	104.0	0.5	0.556896551724	0.333333333333	0.368965517241	2.0	0.0581656197923	2	1	0	0	0	1.0	1.0	1.0	1.0	4.0	0.133340772927	2	0	0	0	0	0.5	105.0	180.0	0.2	545.0	206.0	0.75	0.822810590631	0.0	0.0	0.0	0.0	2	0	0	1	0	1.0	1.0	0.333333333333	0.472766884532	5.0	0.108734402852	4	0	0	0	0	-0.166666666667	99.0	-71.0	0.0	-118.0	-102.0	-0.25	-0.265914038907	0.333333333333	0.368965517241	2.0	0.0581656197923	0	1	0	-1	0	0.0	0.0	0.666666666667	0.527233115468	-1.0	0.0246063700753	-2	0	0	0	0	
基督教儿歌大全100首	1.0	5.0	109.0	1.0	5.0	109.0	0.8	0.841121495327	0.8	0.841121495327	4.0	0.13620539902	3	0	0	0	0	0.6	0.657258064516	0.4	0.439516129032	2.0	0.0680162489507	2	0	0	0	0	0.5	105.0	90.0	0	-1	0	0.5	0.515769944341	0.0	0.0	0.0	0.0	2	0	0	0	0	0.5	0.595348837209	0.0	0.0	0.0	0.0	2	0	0	1	0	0.5	-100.0	19.0	1.0	6.0	109.0	0.3	0.325351550986	0.8	0.841121495327	4.0	0.13620539902	1	0	0	0	0	0.1	0.0619092273068	0.4	0.439516129032	2.0	0.0680162489507	0	0	0	-1	0	
致我们终将逝去的青春电影完整版	1.0	5.0	209.0	1.0	5.0	209.0	0.75	0.854202401372	0.75	0.854202401372	3.0	0.15122396016	3	1	0	0	0	0.5	0.602803738318	0.333333333333	0.339563862928	2.0	0.0525483792516	2	0	0	0	0	1.0	5.0	244.0	0	-1	0	1.0	1.0	0.0	0.0	0.0	0.0	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	2	0	0	0	0	0.0	0.0	-35.0	1.0	6.0	209.0	-0.25	-0.145797598628	0.75	0.854202401372	3.0	0.15122396016	2	1	0	0	0	-0.5	-0.397196261682	0.333333333333	0.339563862928	2.0	0.0525483792516	0	0	0	0	0	
学驾照科目一模拟考试	1.0	5.0	104.0	1.0	5.0	104.0	0.6	0.704347826087	0.6	0.704347826087	7.0	0.214578955875	2	0	0	0	0	0.8	0.836852207294	0.8	0.836852207294	4.0	0.129505026793	1	0	0	0	0	1.0	5.0	90.0	0.5	107.0	130.0	1.0	1.0	0.2	0.265306122449	1.0	0.0314063079777	2	0	0	0	0	0.8	0.857610474632	0.6	0.595744680851	3.0	0.0847254872787	3	0	0	1	0	0.0	0.0	14.0	0.5	-102.0	-26.0	-0.4	-0.295652173913	0.4	0.439041703638	6.0	0.183172647897	0	0	0	0	0	0.0	-0.0207582673381	0.2	0.241107526443	1.0	0.0447795395142	-2	0	0	-1	0	
最近10天电影	1.0	5.0	210.0	1.0	5.0	210.0	0.4	0.55574912892	0.4	0.55574912892	5.0	0.172010802689	2	0	0	0	0	0.2	0.268817204301	0.0	0.0	0.0	0.0	1	0	0	1	0	1.0	5.0	90.0	0.166666666667	724.0	228.0	0.5	0.649899396378	0.0	0.0	0.0	0.0	2	0	0	0	0	0.333333333333	0.527173913043	0.166666666667	0.309782608696	1.0	0.0247134387352	2	0	0	1	0	0.0	0.0	120.0	0.833333333333	-719.0	-18.0	-0.1	-0.0941502674584	0.4	0.55574912892	5.0	0.172010802689	0	0	0	0	0	-0.133333333333	-0.258356708742	-0.166666666667	-0.309782608696	-1.0	-0.0247134387352	-1	0	0	0	0	
